Verse,Hebrew Word,Transliteration,Strong's Number,English Meaning,Telugu Word,Telugu Meaning,Greek (LXX),Greek Transliteration,Part of Speech,Notes
1:2,וְרוּחַ,veruach,H7307,and the Spirit,వెరూచ్,ఆత్మ,πνεῦμα,pneuma,noun,"Spirit, wind, breath"
1:2,מְרַחֶפֶת,merachephet,H7363,was hovering,మెరచెఫెత్,అల్లాడుచుండెను,ἐπεφέρετο,epephereto,verb,"To hover, flutter, move gently"
1:2,הַמָּיִם,hamayim,H4325,the waters,హమాయిమ్,నీళ్ళ,τοῦ ὕδατος,tou hydatos,noun,"Water, waters"
1:3,וַיֹּאמֶר,vayomer,H559,And said,వయోమెర్,చెప్పెను,εἶπεν,eipen,verb,"To say, speak, command"
1:3,יְהִי,yehi,H1961,Let there be,యెహీ,అగును గాక,γενηθήτω,genēthētō,verb,"Jussive form of 'to be' - let it become, let there be"
1:3,אוֹר,or,H216,light,ఓర్,వెలుగు,φῶς,phōs,noun,"Light, daylight"
1:3,וַיְהִי־אוֹר,vayehi-or,H1961+H216,and there was light,వయెహీ ఓర్,వెలుగాయెను,ἐγένετο φῶς,egeneto phōs,phrase,"And light came into being"
1:4,וַיַּרְא,vayar,H7200,And saw,వయర్,చూచెను,εἶδεν,eiden,verb,"To see, look at, perceive"
1:4,כִּי־טוֹב,ki-tov,H3588+H2896,that it was good,కీ టోవ్,మంచిదని,ὅτι καλόν,hoti kalon,phrase,"For/that + good, pleasant, beautiful"
1:4,וַיַּבְדֵּל,vayavdel,H914,And divided,వయవ్దేల్,వేరుచేసెను,διεχώρισεν,diechōrisen,verb,"To separate, divide, distinguish"
1:4,בֵּין,bein,H996,between,బేన్,మధ్య,ἀνὰ μέσον,ana meson,preposition,"Between, among"
1:5,וַיִּקְרָא,vayikra,H7121,And called,వయిక్రా,పిలిచెను,ἐκάλεσεν,ekalesen,verb,"To call, name, proclaim"
1:5,יוֹם,yom,H3117,day,యోమ్,పగలు/దినము,ἡμέραν,hēmeran,noun,"Day, daytime, or a 24-hour period"
1:5,וְלַחֹשֶׁךְ,velachoshek,H2822,and the darkness,వెలహోశెక్,చీకటిని,-,-,preposition+noun,And to the darkness
1:5,לָיְלָה,laylah,H3915,night,లయెలా,రాత్రి,νύκτα,nykta,noun,"Night, nighttime"
1:5,עֶרֶב,erev,H6153,evening,ఎరెవ్,సాయంకాలము,ἑσπέρα,hespera,noun,"Evening, dusk"
1:5,בֹקֶר,boker,H1242,morning,బోకెర్,ఉదయము,πρωί,prōi,noun,"Morning, dawn"
1:5,אֶחָד,echad,H259,one/first,ఎచాద్,ఒకటి/మొదటి,μία,mia,adjective/number,"One, first, united"
1:6,רָקִיעַ,raqia,H7549,expanse/firmament,రాకీయ,ఆకాశవిశాలము,στερέωμα,stereōma,noun,"Expanse, dome, firmament - stretched out space"
1:6,בְּתוֹךְ,betok,H8432,in the midst of,బెతోక్,మధ్యలో,ἐν μέσῳ,en mesō,preposition,"In the middle, inside"
1:6,מַבְדִּיל,mavdil,H914,dividing,మవ్దీల్,వేరుచేయు,-,-,participle,"Separating, dividing"
1:7,וַיַּעַשׂ,vaya'as,H6213,And made,వయాస్,చేసెను,ἐποίησεν,epoiēsen,verb,"To do, make, accomplish"
1:7,מִתַּחַת,mitachat,H8478,below/under,మిత్తచత్,క్రింద,ὑποκάτω,hypokatō,preposition,"Under, beneath, below"
1:7,מֵעַל,me'al,H5921,above,మేఅల్,పైన,ἐπάνω,epanō,preposition,"Above, upon, over"
1:7,וַיְהִי־כֵן,vayehi-ken,H1961+H3651,and it was so,వయెహీ కేన్,అయ్యెను,ἐγένετο οὕτως,egeneto houtōs,phrase,"And it became so, and it happened"
1:8,שָׁמַיִם,shamayim,H8064,heavens/sky,షామయిమ్,ఆకాశము,οὐρανόν,ouranon,noun,"Heaven, sky, the visible arch"
1:8,שֵׁנִי,sheni,H8145,second,షేనీ,రెండవ,δευτέρα,deutera,adjective/number,"Second, another"
1:9,יִקָּווּ,yikkavu,H6960,Let be gathered,యిక్కావూ,కూడబెట్టబడుగాక,συναχθήτω,synachthētō,verb,"To gather, collect, wait for"
1:9,מָקוֹם,maqom,H4725,place,మాకోమ్,స్థలము,συναγωγὴν,synagōgēn,noun,"Place, location, spot"
1:9,הַיַּבָּשָׁה,hayabbashah,H3004,the dry land,హయబాషా,ఆరిన/పొడినేల,ξηρά,xēra,noun,"Dry land, dry ground"
1:10,אֶרֶץ,eretz,H776,earth/land,ఎరెట్స్,భూమి,γῆν,gēn,noun,"Earth, land, ground, territory"
1:10,מִקְוֵה,mikveh,H4723,gathering,మిక్వే,సముదాయము,συστήματα,systēmata,noun,"Collection, gathering, hope"
1:10,יַמִּים,yammim,H3220,seas,యమ్మీమ్,సముద్రములు,θαλάσσας,thalassas,noun,"Seas, large bodies of water"
1:11,תַּדְשֵׁא,tadshe,H1876,Let bring forth,తద్షే,మొలకెత్తించుగాక,βλαστησάτω,blastēsatō,verb,"To sprout, bring forth vegetation"
1:11,דֶּשֶׁא,deshe,H1877,vegetation/grass,దెషె,పచ్చగడ్డి,βοτάνην χόρτου,botanēn chortou,noun,"Grass, tender herb, vegetation"
1:11,עֵשֶׂב,esev,H6212,herb/plant,ఎసెవ్,గడ్డి/మొక్క,-,-,noun,"Herb, grass, plant"
1:11,מַזְרִיעַ,mazria,H2232,yielding/seeding,మజ్రీయ,విత్తనమిచ్చు,σπεῖρον,speiron,participle,"Seeding, producing seed"
1:11,זֶרַע,zera,H2233,seed,జెర,విత్తనము,σπέρμα,sperma,noun,"Seed, offspring, descendants"
1:11,עֵץ,etz,H6086,tree,ఎట్స్,చెట్టు,ξύλον,xylon,noun,"Tree, wood, timber"
1:11,פְּרִי,peri,H6529,fruit,పెరీ,ఫలము,καρπόν,karpon,noun,"Fruit, produce"
1:11,לְמִינוֹ,lemino,H4327,after its kind,లెమీనో,తన జాతి ప్రకారము,κατὰ γένος,kata genos,preposition+noun,"According to its species, after its kind"
1:14,מְאֹרֹת,me'orot,H3974,lights/luminaries,మెఓరోత్,జ్యోతులు,φωστῆρες,phōstēres,noun,"Lights, luminaries"
1:14,לְאֹתֹת,le'otot,H226,for signs,లెఓతోత్,గుర్తులకొరకు,σημεῖα,sēmeia,noun,For signs or signals
1:14,מוֹעֲדִים,mo'adim,H4150,seasons/appointed times,మోఆదీమ్,కాలములకొరకు,καιρούς,kairous,noun,"Appointed times, seasons, festivals"
1:14,יָמִים,yamim,H3117,days,యామీమ్,దినములకొరకు,ἡμέρας,hēmeras,noun,"Days, time periods"
1:14,שָׁנִים,shanim,H8141,years,షానీమ్,సంవత్సరములకొరకు,ἐνιαυτούς,eniautous,noun,Years
1:16,שְׁנֵי,shnei,H8147,two,ష్నే,రెండు,δύο,dyo,number,Two
1:16,הַגְּדֹלִים,hagedolim,H1419,the great,హగెదోలీమ్,గొప్పవి,μεγάλους,megalous,adjective,"Great, large, important"
1:16,הַמָּאוֹר,hama'or,H3974,the light,హమాఓర్,జ్యోతి,φωστῆρα,phōstēra,noun,"Light, luminary"
1:16,הַגָּדֹל,hagadol,H1419,the great,హగాదోల్,పెద్దది,μέγαν,megan,adjective,"Great, large"
1:16,לְמֶמְשֶׁלֶת,lememsheleth,H4475,to rule,లెమెమ్షెలెత్,ఏలుటకు,ἀρχὰς,archas,noun,"Dominion, rule, authority"
1:16,הַקָּטֹן,hakaton,H6996,the lesser/small,హకాటోన్,చిన్నది,ἐλάσσω,elassō,adjective,"Small, lesser, young"
1:16,הַכּוֹכָבִים,hakokavim,H3556,the stars,హకోకావీమ్,నక్షత్రములు,ἀστέρας,asteras,noun,Stars
1:20,יִשְׁרְצוּ,yishretzu,H8317,Let swarm,యిష్రెట్సూ,పుట్టించుగాక,ἐξαγαγέτω,exagagetō,verb,"To swarm, multiply abundantly"
1:20,שֶׁרֶץ,sheretz,H8318,swarm/creatures,షెరెట్స్,జంతువులు,ἑρπετά,herpeta,noun,"Swarm, swarming creatures"
1:20,נֶפֶשׁ,nephesh,H5315,soul/creature,నెపెష్,ప్రాణము/జీవి,ψυχῶν,psychōn,noun,"Soul, living being, creature, life"
1:20,חַיָּה,chayyah,H2416,living,చయ్యా,సజీవమైన,ζωσῶν,zōsōn,adjective/noun,"Living, alive, life"
1:20,עוֹף,oph,H5775,birds/fowl,ఓఫ్,పక్షులు,πετεινά,peteina,noun,"Flying creatures, birds"
1:20,יְעוֹפֵף,ye'opheph,H5774,let fly,యెఓఫేఫ్,ఎగురుగాక,πετόμενα,petomena,verb,"To fly, flutter"
1:21,הַתַּנִּינִם,hattanninim,H8577,the sea creatures,హతన్నీనీమ్,సముద్రజంతువులు,κήτη,kētē,noun,"Sea monsters, great sea creatures, dragons"
1:22,וַיְבָרֶךְ,vayevarekh,H1288,And blessed,వయెవారెక్,ఆశీర్వదించెను,ηὐλόγησεν,eulogēsen,verb,"To bless, kneel"
1:22,פְּרוּ,peru,H6509,Be fruitful,పెరూ,ఫలించుము,αὐξάνεσθε,auxanesthe,verb,"Be fruitful, increase"
1:22,וּרְבוּ,urevu,H7235,and multiply,ఉరెవూ,వృద్ధియగుడి,πληθύνεσθε,plēthynesthe,verb,"Multiply, become many"
1:22,וּמִלְאוּ,umilu,H4390,and fill,ఉమిలూ,నింపుడి,πληρώσατε,plērōsate,verb,"To fill, be full"
1:24,תּוֹצֵא,totzei,H3318,Let bring forth,తోట్సే,ఉత్పత్తి చేయుగాక,ἐξαγαγέτω,exagagetō,verb,"To go/bring out, produce"
1:24,בְּהֵמָה,behemah,H929,cattle/livestock,బెహేమా,పశువులు,κτήνη,ktēnē,noun,"Cattle, livestock, beasts"
1:24,רֶמֶשׂ,remes,H7431,creeping things,రెమెస్,ప్రాకెడి జంతువులు,ἑρπετά,herpeta,noun,"Creeping things, reptiles"
1:24,חַיְתוֹ,chayeto,H2416,beast of,చయెతో,జంతువు,-,-,noun,"Beast, living creature of"
1:26,נַעֲשֶׂה,na'aseh,H6213,Let us make,నఆసే,చేయుదము,ποιήσωμεν,poiēsōmen,verb,"First person plural cohortative - Let us make, do"
1:26,אָדָם,adam,H120,man/mankind,ఆదామ్,మానవుని,ἄνθρωπον,anthrōpon,noun,"Man, mankind, human being - from 'adamah' (ground)"
1:26,בְּצַלְמֵנוּ,betzalmenu,H6754,in our image,బెట్సల్మేను,మా స్వరూపమందు,εἰκόνα ἡμετέραν,eikona hēmeteran,preposition+noun,"In our image, likeness, form"
1:26,כִּדְמוּתֵנוּ,kidmutenu,H1823,according to our likeness,కిద్ముతేను,మా పోలికచొప్పున,ὁμοίωσιν,homoiōsin,preposition+noun,"According to our likeness, resemblance"
1:26,וְיִרְדּוּ,veyirdu,H7287,and let them rule,వెయిర్దూ,ఏలుగాక,ἀρχέτωσαν,archetōsan,verb,"To have dominion, rule, reign"
1:26,בִדְגַת,bidgat,H1710,over fish,బిద్గత్,చేపలను,-,-,preposition+noun,"Over the fish of"
1:26,הַיָּם,hayyam,H3220,the sea,హయ్యామ్,సముద్రము,τῆς θαλάσσης,tēs thalassēs,noun,"The sea, large body of water"
1:27,וַיִּבְרָא,vayivra,H1254,And created,వయివ్రా,సృష్టించెను,ἐποίησεν,epoiēsen,verb,"And He created - special divine creation"
1:27,בְּצַלְמוֹ,betzalmo,H6754,in His image,బెట్సల్మో,తన స్వరూపమందు,κατ' εἰκόνα,kat' eikona,preposition+noun,"In His image, representation"
1:27,זָכָר,zakar,H2145,male,జాకార్,పురుషుడు,ἄρσεν,arsen,noun,"Male, masculine"
1:27,וּנְקֵבָה,unekevah,H5347,and female,ఉనెకేవా,స్త్రీ,θῆλυ,thēly,noun,"Female, feminine"
1:28,וְכִבְשֻׁהָ,vekhivshuha,H3533,and subdue it,వెకివ్షుహా,లోపరచుకొనుడి,κατακυριεύσατε,katakyrieusate,verb,"Subdue, bring under control"
1:29,נָתַתִּי,natatti,H5414,I have given,నాతత్తీ,ఇచ్చుచున్నాను,δέδωκα,dedōka,verb,"I have given, presented"
1:29,לְאָכְלָה,le'okhlah,H402,for food,లెఓక్లా,ఆహారముగా,βρῶσιν,brōsin,noun+preposition,"For eating, as food"
1:31,וְהִנֵּה,vehinne,H2009,and behold,వెహిన్నే,ఇదిగో,ἰδού,idou,particle,"And behold, look, indeed"
1:31,טוֹב מְאֹד,tov me'od,H2896+H3966,very good,టోవ్ మెఓద్,చాలా మంచిది,καλὰ λίαν,kala lian,adjective+adverb,"Very good, exceedingly good"
1:31,הַשִּׁשִּׁי,hashishi,H8345,the sixth,హషిషీ,ఆరవ,ἕκτη,hektē,adjective/number,The sixth
