"תנ ך עברי מודרני"


"This Bible is in the Public Domain."

"Verse ID","Book Name","Book Number",Chapter,Verse,Text
43,בְּרֵאשִׁית,1,2,12,"וזהב הארץ ההוא טוב שם הבדלח ואבן השהם׃"
44,בְּרֵאשִׁית,1,2,13,"ושם הנהר השני גיחון הוא הסובב את כל ארץ כוש׃"
45,בְּרֵאשִׁית,1,2,14,"ושם הנהר השלישי חדקל הוא ההלך קדמת אשור והנהר הרביעי הוא פרת׃"
46,בְּרֵאשִׁית,1,2,15,"ויקח יהוה אלהים את האדם וינחהו בגן עדן לעבדה ולשמרה׃"
47,בְּרֵאשִׁית,1,2,16,"ויצו יהוה אלהים על האדם לאמר מכל עץ הגן אכל תאכל׃"
48,בְּרֵאשִׁית,1,2,17,"ומעץ הדעת טוב ורע לא תאכל ממנו כי ביום אכלך ממנו מות תמות׃"
49,בְּרֵאשִׁית,1,2,18,"ויאמר יהוה אלהים לא טוב היות האדם לבדו אעשה לו עזר כנגדו׃"
50,בְּרֵאשִׁית,1,2,19,"ויצר יהוה אלהים מן האדמה כל חית השדה ואת כל עוף השמים ויבא אל האדם לראות מה יקרא לו וכל אשר יקרא לו האדם נפש חיה הוא שמו׃"
51,בְּרֵאשִׁית,1,2,20,"ויקרא האדם שמות לכל הבהמה ולעוף השמים ולכל חית השדה ולאדם לא מצא עזר כנגדו׃"
52,בְּרֵאשִׁית,1,2,21,"ויפל יהוה אלהים תרדמה על האדם ויישן ויקח אחת מצלעתיו ויסגר בשר תחתנה׃"
53,בְּרֵאשִׁית,1,2,22,"ויבן יהוה אלהים את הצלע אשר לקח מן האדם לאשה ויבאה אל האדם׃"
54,בְּרֵאשִׁית,1,2,23,"ויאמר האדם זאת הפעם עצם מעצמי ובשר מבשרי לזאת יקרא אשה כי מאיש לקחה זאת׃"
55,בְּרֵאשִׁית,1,2,24,"על כן יעזב איש את אביו ואת אמו ודבק באשתו והיו לבשר אחד׃"
56,בְּרֵאשִׁית,1,2,25,"ויהיו שניהם ערומים האדם ואשתו ולא יתבששו׃"
57,בְּרֵאשִׁית,1,3,1,"¶ והנחש היה ערום מכל חית השדה אשר עשה יהוה אלהים ויאמר אל האשה אף כי אמר אלהים לא תאכלו מכל עץ הגן׃"
58,בְּרֵאשִׁית,1,3,2,"ותאמר האשה אל הנחש מפרי עץ הגן נאכל׃"
59,בְּרֵאשִׁית,1,3,3,"ומפרי העץ אשר בתוך הגן אמר אלהים לא תאכלו ממנו ולא תגעו בו פן תמתון׃"
60,בְּרֵאשִׁית,1,3,4,"ויאמר הנחש אל האשה לא מות תמתון׃"
61,בְּרֵאשִׁית,1,3,5,"כי ידע אלהים כי ביום אכלכם ממנו ונפקחו עיניכם והייתם כאלהים ידעי טוב ורע׃"
62,בְּרֵאשִׁית,1,3,6,"ותרא האשה כי טוב העץ למאכל וכי תאוה הוא לעינים ונחמד העץ להשכיל ותקח מפריו ותאכל ותתן גם לאישה עמה ויאכל׃"
63,בְּרֵאשִׁית,1,3,7,"ותפקחנה עיני שניהם וידעו כי עירמם הם ויתפרו עלה תאנה ויעשו להם חגרת׃"
64,בְּרֵאשִׁית,1,3,8,"וישמעו את קול יהוה אלהים מתהלך בגן לרוח היום ויתחבא האדם ואשתו מפני יהוה אלהים בתוך עץ הגן׃"
65,בְּרֵאשִׁית,1,3,9,"ויקרא יהוה אלהים אל האדם ויאמר לו איכה׃"
66,בְּרֵאשִׁית,1,3,10,"ויאמר את קלך שמעתי בגן ואירא כי עירם אנכי ואחבא׃"
67,בְּרֵאשִׁית,1,3,11,"ויאמר מי הגיד לך כי עירם אתה המן העץ אשר צויתיך לבלתי אכל ממנו אכלת׃"
68,בְּרֵאשִׁית,1,3,12,"ויאמר האדם האשה אשר נתתה עמדי הוא נתנה לי מן העץ ואכל׃"
69,בְּרֵאשִׁית,1,3,13,"ויאמר יהוה אלהים לאשה מה זאת עשית ותאמר האשה הנחש השיאני ואכל׃"
70,בְּרֵאשִׁית,1,3,14,"ויאמר יהוה אלהים אל הנחש כי עשית זאת ארור אתה מכל הבהמה ומכל חית השדה על גחנך תלך ועפר תאכל כל ימי חייך׃"
71,בְּרֵאשִׁית,1,3,15,"ואיבה אשית בינך ובין האשה ובין זרעך ובין זרעה הוא ישופך ראש ואתה תשופנו עקב׃"
72,בְּרֵאשִׁית,1,3,16,"אל האשה אמר הרבה ארבה עצבונך והרנך בעצב תלדי בנים ואל אישך תשוקתך והוא ימשל בך׃"
73,בְּרֵאשִׁית,1,3,17,"ולאדם אמר כי שמעת לקול אשתך ותאכל מן העץ אשר צויתיך לאמר לא תאכל ממנו ארורה האדמה בעבורך בעצבון תאכלנה כל ימי חייך׃"
74,בְּרֵאשִׁית,1,3,18,"וקוץ ודרדר תצמיח לך ואכלת את עשב השדה׃"
75,בְּרֵאשִׁית,1,3,19,"בזעת אפיך תאכל לחם עד שובך אל האדמה כי ממנה לקחת כי עפר אתה ואל עפר תשוב׃"
76,בְּרֵאשִׁית,1,3,20,"ויקרא האדם שם אשתו חוה כי הוא היתה אם כל חי׃"
77,בְּרֵאשִׁית,1,3,21,"ויעש יהוה אלהים לאדם ולאשתו כתנות עור וילבשם׃"
78,בְּרֵאשִׁית,1,3,22,"ויאמר יהוה אלהים הן האדם היה כאחד ממנו לדעת טוב ורע ועתה פן ישלח ידו ולקח גם מעץ החיים ואכל וחי לעלם׃"
79,בְּרֵאשִׁית,1,3,23,"וישלחהו יהוה אלהים מגן עדן לעבד את האדמה אשר לקח משם׃"
80,בְּרֵאשִׁית,1,3,24,"ויגרש את האדם וישכן מקדם לגן עדן את הכרבים ואת להט החרב המתהפכת לשמר את דרך עץ החיים׃"
81,בְּרֵאשִׁית,1,4,1,"¶ והאדם ידע את חוה אשתו ותהר ותלד את קין ותאמר קניתי איש את יהוה׃"
82,בְּרֵאשִׁית,1,4,2,"ותסף ללדת את אחיו את הבל ויהי הבל רעה צאן וקין היה עבד אדמה׃"
83,בְּרֵאשִׁית,1,4,3,"ויהי מקץ ימים ויבא קין מפרי האדמה מנחה ליהוה׃"
84,בְּרֵאשִׁית,1,4,4,"והבל הביא גם הוא מבכרות צאנו ומחלבהן וישע יהוה אל הבל ואל מנחתו׃"
85,בְּרֵאשִׁית,1,4,5,"ואל קין ואל מנחתו לא שעה ויחר לקין מאד ויפלו פניו׃"
86,בְּרֵאשִׁית,1,4,6,"ויאמר יהוה אל קין למה חרה לך ולמה נפלו פניך׃"
87,בְּרֵאשִׁית,1,4,7,"הלוא אם תיטיב שאת ואם לא תיטיב לפתח חטאת רבץ ואליך תשוקתו ואתה תמשל בו׃"
88,בְּרֵאשִׁית,1,4,8,"ויאמר קין אל הבל אחיו ויהי בהיותם בשדה ויקם קין אל הבל אחיו ויהרגהו׃"
89,בְּרֵאשִׁית,1,4,9,"ויאמר יהוה אל קין אי הבל אחיך ויאמר לא ידעתי השמר אחי אנכי׃"
90,בְּרֵאשִׁית,1,4,10,"ויאמר מה עשית קול דמי אחיך צעקים אלי מן האדמה׃"
91,בְּרֵאשִׁית,1,4,11,"ועתה ארור אתה מן האדמה אשר פצתה את פיה לקחת את דמי אחיך מידך׃"
92,בְּרֵאשִׁית,1,4,12,"כי תעבד את האדמה לא תסף תת כחה לך נע ונד תהיה בארץ׃"
93,בְּרֵאשִׁית,1,4,13,"ויאמר קין אל יהוה גדול עוני מנשא׃"
94,בְּרֵאשִׁית,1,4,14,"הן גרשת אתי היום מעל פני האדמה ומפניך אסתר והייתי נע ונד בארץ והיה כל מצאי יהרגני׃"
95,בְּרֵאשִׁית,1,4,15,"ויאמר לו יהוה לכן כל הרג קין שבעתים יקם וישם יהוה לקין אות לבלתי הכות אתו כל מצאו׃"
96,בְּרֵאשִׁית,1,4,16,"ויצא קין מלפני יהוה וישב בארץ נוד קדמת עדן׃"
97,בְּרֵאשִׁית,1,4,17,"וידע קין את אשתו ותהר ותלד את חנוך ויהי בנה עיר ויקרא שם העיר כשם בנו חנוך׃"
98,בְּרֵאשִׁית,1,4,18,"ויולד לחנוך את עירד ועירד ילד את מחויאל ומחייאל ילד את מתושאל ומתושאל ילד את למך׃"
99,בְּרֵאשִׁית,1,4,19,"ויקח לו למך שתי נשים שם האחת עדה ושם השנית צלה׃"
100,בְּרֵאשִׁית,1,4,20,"ותלד עדה את יבל הוא היה אבי ישב אהל ומקנה׃"
101,בְּרֵאשִׁית,1,4,21,"ושם אחיו יובל הוא היה אבי כל תפש כנור ועוגב׃"
102,בְּרֵאשִׁית,1,4,22,"וצלה גם הוא ילדה את תובל קין לטש כל חרש נחשת וברזל ואחות תובל קין נעמה׃"
103,בְּרֵאשִׁית,1,4,23,"ויאמר למך לנשיו עדה וצלה שמען קולי נשי למך האזנה אמרתי כי איש הרגתי לפצעי וילד לחברתי׃"
104,בְּרֵאשִׁית,1,4,24,"כי שבעתים יקם קין ולמך שבעים ושבעה׃"
105,בְּרֵאשִׁית,1,4,25,"וידע אדם עוד את אשתו ותלד בן ותקרא את שמו שת כי שת לי אלהים זרע אחר תחת הבל כי הרגו קין׃"
106,בְּרֵאשִׁית,1,4,26,"ולשת גם הוא ילד בן ויקרא את שמו אנוש אז הוחל לקרא בשם יהוה׃"
107,בְּרֵאשִׁית,1,5,1,"¶ זה ספר תולדת אדם ביום ברא אלהים אדם בדמות אלהים עשה אתו׃"
108,בְּרֵאשִׁית,1,5,2,"זכר ונקבה בראם ויברך אתם ויקרא את שמם אדם ביום הבראם׃"
109,בְּרֵאשִׁית,1,5,3,"ויחי אדם שלשים ומאת שנה ויולד בדמותו כצלמו ויקרא את שמו שת׃"
110,בְּרֵאשִׁית,1,5,4,"ויהיו ימי אדם אחרי הולידו את שת שמנה מאת שנה ויולד בנים ובנות׃"
111,בְּרֵאשִׁית,1,5,5,"ויהיו כל ימי אדם אשר חי תשע מאות שנה ושלשים שנה וימת׃"
112,בְּרֵאשִׁית,1,5,6,"ויחי שת חמש שנים ומאת שנה ויולד את אנוש׃"
113,בְּרֵאשִׁית,1,5,7,"ויחי שת אחרי הולידו את אנוש שבע שנים ושמנה מאות שנה ויולד בנים ובנות׃"
114,בְּרֵאשִׁית,1,5,8,"ויהיו כל ימי שת שתים עשרה שנה ותשע מאות שנה וימת׃"
115,בְּרֵאשִׁית,1,5,9,"ויחי אנוש תשעים שנה ויולד את קינן׃"
116,בְּרֵאשִׁית,1,5,10,"ויחי אנוש אחרי הולידו את קינן חמש עשרה שנה ושמנה מאות שנה ויולד בנים ובנות׃"
117,בְּרֵאשִׁית,1,5,11,"ויהיו כל ימי אנוש חמש שנים ותשע מאות שנה וימת׃"
118,בְּרֵאשִׁית,1,5,12,"ויחי קינן שבעים שנה ויולד את מהללאל׃"
119,בְּרֵאשִׁית,1,5,13,"ויחי קינן אחרי הולידו את מהללאל ארבעים שנה ושמנה מאות שנה ויולד בנים ובנות׃"
120,בְּרֵאשִׁית,1,5,14,"ויהיו כל ימי קינן עשר שנים ותשע מאות שנה וימת׃"
121,בְּרֵאשִׁית,1,5,15,"ויחי מהללאל חמש שנים וששים שנה ויולד את ירד׃"
122,בְּרֵאשִׁית,1,5,16,"ויחי מהללאל אחרי הולידו את ירד שלשים שנה ושמנה מאות שנה ויולד בנים ובנות׃"
123,בְּרֵאשִׁית,1,5,17,"ויהיו כל ימי מהללאל חמש ותשעים שנה ושמנה מאות שנה וימת׃"
124,בְּרֵאשִׁית,1,5,18,"ויחי ירד שתים וששים שנה ומאת שנה ויולד את חנוך׃"
125,בְּרֵאשִׁית,1,5,19,"ויחי ירד אחרי הולידו את חנוך שמנה מאות שנה ויולד בנים ובנות׃"
126,בְּרֵאשִׁית,1,5,20,"ויהיו כל ימי ירד שתים וששים שנה ותשע מאות שנה וימת׃"
127,בְּרֵאשִׁית,1,5,21,"ויחי חנוך חמש וששים שנה ויולד את מתושלח׃"
128,בְּרֵאשִׁית,1,5,22,"ויתהלך חנוך את האלהים אחרי הולידו את מתושלח שלש מאות שנה ויולד בנים ובנות׃"
129,בְּרֵאשִׁית,1,5,23,"ויהי כל ימי חנוך חמש וששים שנה ושלש מאות שנה׃"
130,בְּרֵאשִׁית,1,5,24,"ויתהלך חנוך את האלהים ואיננו כי לקח אתו אלהים׃"
131,בְּרֵאשִׁית,1,5,25,"ויחי מתושלח שבע ושמנים שנה ומאת שנה ויולד את למך׃"
132,בְּרֵאשִׁית,1,5,26,"ויחי מתושלח אחרי הולידו את למך שתים ושמונים שנה ושבע מאות שנה ויולד בנים ובנות׃"
133,בְּרֵאשִׁית,1,5,27,"ויהיו כל ימי מתושלח תשע וששים שנה ותשע מאות שנה וימת׃"
134,בְּרֵאשִׁית,1,5,28,"ויחי למך שתים ושמנים שנה ומאת שנה ויולד בן׃"
135,בְּרֵאשִׁית,1,5,29,"ויקרא את שמו נח לאמר זה ינחמנו ממעשנו ומעצבון ידינו מן האדמה אשר אררה יהוה׃"
136,בְּרֵאשִׁית,1,5,30,"ויחי למך אחרי הולידו את נח חמש ותשעים שנה וחמש מאת שנה ויולד בנים ובנות׃"
137,בְּרֵאשִׁית,1,5,31,"ויהי כל ימי למך שבע ושבעים שנה ושבע מאות שנה וימת׃"
138,בְּרֵאשִׁית,1,5,32,"ויהי נח בן חמש מאות שנה ויולד נח את שם את חם ואת יפת׃"
139,בְּרֵאשִׁית,1,6,1,"¶ ויהי כי החל האדם לרב על פני האדמה ובנות ילדו להם׃"
140,בְּרֵאשִׁית,1,6,2,"ויראו בני האלהים את בנות האדם כי טבת הנה ויקחו להם נשים מכל אשר בחרו׃"
141,בְּרֵאשִׁית,1,6,3,"ויאמר יהוה לא ידון רוחי באדם לעלם בשגם הוא בשר והיו ימיו מאה ועשרים שנה׃"
142,בְּרֵאשִׁית,1,6,4,"הנפלים היו בארץ בימים ההם וגם אחרי כן אשר יבאו בני האלהים אל בנות האדם וילדו להם המה הגברים אשר מעולם אנשי השם׃"
143,בְּרֵאשִׁית,1,6,5,"וירא יהוה כי רבה רעת האדם בארץ וכל יצר מחשבת לבו רק רע כל היום׃"
144,בְּרֵאשִׁית,1,6,6,"וינחם יהוה כי עשה את האדם בארץ ויתעצב אל לבו׃"
145,בְּרֵאשִׁית,1,6,7,"ויאמר יהוה אמחה את האדם אשר בראתי מעל פני האדמה מאדם עד בהמה עד רמש ועד עוף השמים כי נחמתי כי עשיתם׃"
146,בְּרֵאשִׁית,1,6,8,"ונח מצא חן בעיני יהוה׃"
147,בְּרֵאשִׁית,1,6,9,"אלה תולדת נח נח איש צדיק תמים היה בדרתיו את האלהים התהלך נח׃"
148,בְּרֵאשִׁית,1,6,10,"ויולד נח שלשה בנים את שם את חם ואת יפת׃"
149,בְּרֵאשִׁית,1,6,11,"ותשחת הארץ לפני האלהים ותמלא הארץ חמס׃"
150,בְּרֵאשִׁית,1,6,12,"וירא אלהים את הארץ והנה נשחתה כי השחית כל בשר את דרכו על הארץ׃"
151,בְּרֵאשִׁית,1,6,13,"ויאמר אלהים לנח קץ כל בשר בא לפני כי מלאה הארץ חמס מפניהם והנני משחיתם את הארץ׃"
152,בְּרֵאשִׁית,1,6,14,"עשה לך תבת עצי גפר קנים תעשה את התבה וכפרת אתה מבית ומחוץ בכפר׃"
153,בְּרֵאשִׁית,1,6,15,"וזה אשר תעשה אתה שלש מאות אמה ארך התבה חמשים אמה רחבה ושלשים אמה קומתה׃"
154,בְּרֵאשִׁית,1,6,16,"צהר תעשה לתבה ואל אמה תכלנה מלמעלה ופתח התבה בצדה תשים תחתים שנים ושלשים תעשה׃"
155,בְּרֵאשִׁית,1,6,17,"ואני הנני מביא את המבול מים על הארץ לשחת כל בשר אשר בו רוח חיים מתחת השמים כל אשר בארץ יגוע׃"
156,בְּרֵאשִׁית,1,6,18,"והקמתי את בריתי אתך ובאת אל התבה אתה ובניך ואשתך ונשי בניך אתך׃"
157,בְּרֵאשִׁית,1,6,19,"ומכל החי מכל בשר שנים מכל תביא אל התבה להחית אתך זכר ונקבה יהיו׃"
158,בְּרֵאשִׁית,1,6,20,"מהעוף למינהו ומן הבהמה למינה מכל רמש האדמה למינהו שנים מכל יבאו אליך להחיות׃"
159,בְּרֵאשִׁית,1,6,21,"ואתה קח לך מכל מאכל אשר יאכל ואספת אליך והיה לך ולהם לאכלה׃"
160,בְּרֵאשִׁית,1,6,22,"ויעש נח ככל אשר צוה אתו אלהים כן עשה׃"
161,בְּרֵאשִׁית,1,7,1,"¶ ויאמר יהוה לנח בא אתה וכל ביתך אל התבה כי אתך ראיתי צדיק לפני בדור הזה׃"
162,בְּרֵאשִׁית,1,7,2,"מכל הבהמה הטהורה תקח לך שבעה שבעה איש ואשתו ומן הבהמה אשר לא טהרה הוא שנים איש ואשתו׃"
163,בְּרֵאשִׁית,1,7,3,"גם מעוף השמים שבעה שבעה זכר ונקבה לחיות זרע על פני כל הארץ׃"
164,בְּרֵאשִׁית,1,7,4,"כי לימים עוד שבעה אנכי ממטיר על הארץ ארבעים יום וארבעים לילה ומחיתי את כל היקום אשר עשיתי מעל פני האדמה׃"
165,בְּרֵאשִׁית,1,7,5,"ויעש נח ככל אשר צוהו יהוה׃"
166,בְּרֵאשִׁית,1,7,6,"ונח בן שש מאות שנה והמבול היה מים על הארץ׃"
167,בְּרֵאשִׁית,1,7,7,"ויבא נח ובניו ואשתו ונשי בניו אתו אל התבה מפני מי המבול׃"
168,בְּרֵאשִׁית,1,7,8,"מן הבהמה הטהורה ומן הבהמה אשר איננה טהרה ומן העוף וכל אשר רמש על האדמה׃"
169,בְּרֵאשִׁית,1,7,9,"שנים שנים באו אל נח אל התבה זכר ונקבה כאשר צוה אלהים את נח׃"
170,בְּרֵאשִׁית,1,7,10,"ויהי לשבעת הימים ומי המבול היו על הארץ׃"
171,בְּרֵאשִׁית,1,7,11,"בשנת שש מאות שנה לחיי נח בחדש השני בשבעה עשר יום לחדש ביום הזה נבקעו כל מעינת תהום רבה וארבת השמים נפתחו׃"
172,בְּרֵאשִׁית,1,7,12,"ויהי הגשם על הארץ ארבעים יום וארבעים לילה׃"
173,בְּרֵאשִׁית,1,7,13,"בעצם היום הזה בא נח ושם וחם ויפת בני נח ואשת נח ושלשת נשי בניו אתם אל התבה׃"
174,בְּרֵאשִׁית,1,7,14,"המה וכל החיה למינה וכל הבהמה למינה וכל הרמש הרמש על הארץ למינהו וכל העוף למינהו כל צפור כל כנף׃"
175,בְּרֵאשִׁית,1,7,15,"ויבאו אל נח אל התבה שנים שנים מכל הבשר אשר בו רוח חיים׃"
176,בְּרֵאשִׁית,1,7,16,"והבאים זכר ונקבה מכל בשר באו כאשר צוה אתו אלהים ויסגר יהוה בעדו׃"
177,בְּרֵאשִׁית,1,7,17,"ויהי המבול ארבעים יום על הארץ וירבו המים וישאו את התבה ותרם מעל הארץ׃"
178,בְּרֵאשִׁית,1,7,18,"ויגברו המים וירבו מאד על הארץ ותלך התבה על פני המים׃"
179,בְּרֵאשִׁית,1,7,19,"והמים גברו מאד מאד על הארץ ויכסו כל ההרים הגבהים אשר תחת כל השמים׃"
180,בְּרֵאשִׁית,1,7,20,"חמש עשרה אמה מלמעלה גברו המים ויכסו ההרים׃"
181,בְּרֵאשִׁית,1,7,21,"ויגוע כל בשר הרמש על הארץ בעוף ובבהמה ובחיה ובכל השרץ השרץ על הארץ וכל האדם׃"
182,בְּרֵאשִׁית,1,7,22,"כל אשר נשמת רוח חיים באפיו מכל אשר בחרבה מתו׃"
183,בְּרֵאשִׁית,1,7,23,"וימח את כל היקום אשר על פני האדמה מאדם עד בהמה עד רמש ועד עוף השמים וימחו מן הארץ וישאר אך נח ואשר אתו בתבה׃"
184,בְּרֵאשִׁית,1,7,24,"ויגברו המים על הארץ חמשים ומאת יום׃"
185,בְּרֵאשִׁית,1,8,1,"¶ ויזכר אלהים את נח ואת כל החיה ואת כל הבהמה אשר אתו בתבה ויעבר אלהים רוח על הארץ וישכו המים׃"
186,בְּרֵאשִׁית,1,8,2,"ויסכרו מעינת תהום וארבת השמים ויכלא הגשם מן השמים׃"
187,בְּרֵאשִׁית,1,8,3,"וישבו המים מעל הארץ הלוך ושוב ויחסרו המים מקצה חמשים ומאת יום׃"
188,בְּרֵאשִׁית,1,8,4,"ותנח התבה בחדש השביעי בשבעה עשר יום לחדש על הרי אררט׃"
189,בְּרֵאשִׁית,1,8,5,"והמים היו הלוך וחסור עד החדש העשירי בעשירי באחד לחדש נראו ראשי ההרים׃"
190,בְּרֵאשִׁית,1,8,6,"ויהי מקץ ארבעים יום ויפתח נח את חלון התבה אשר עשה׃"
191,בְּרֵאשִׁית,1,8,7,"וישלח את הערב ויצא יצוא ושוב עד יבשת המים מעל הארץ׃"
192,בְּרֵאשִׁית,1,8,8,"וישלח את היונה מאתו לראות הקלו המים מעל פני האדמה׃"
193,בְּרֵאשִׁית,1,8,9,"ולא מצאה היונה מנוח לכף רגלה ותשב אליו אל התבה כי מים על פני כל הארץ וישלח ידו ויקחה ויבא אתה אליו אל התבה׃"
194,בְּרֵאשִׁית,1,8,10,"ויחל עוד שבעת ימים אחרים ויסף שלח את היונה מן התבה׃"
195,בְּרֵאשִׁית,1,8,11,"ותבא אליו היונה לעת ערב והנה עלה זית טרף בפיה וידע נח כי קלו המים מעל הארץ׃"
196,בְּרֵאשִׁית,1,8,12,"וייחל עוד שבעת ימים אחרים וישלח את היונה ולא יספה שוב אליו עוד׃"
197,בְּרֵאשִׁית,1,8,13,"ויהי באחת ושש מאות שנה בראשון באחד לחדש חרבו המים מעל הארץ ויסר נח את מכסה התבה וירא והנה חרבו פני האדמה׃"
