strongs_number,original_word,testament,language,part_of_speech,english_meaning,telugu_meaning,occurrences
H68,אֶבֶן,Old Testament,Hebrew,noun,"+ mason, + plummet, (chalk-, hail-, head-, sling-)stone(-ny), (divers) weight(-s).",రాయి,273
A69,אֶבֶן,Old Testament,Aramaic,noun,stone,,8
H70,אוֹבֶן,Old Testament,Hebrew,noun,stool.,,2
H71,אֲבָנָה,Old Testament,Hebrew,noun location,a river near Damascus,,1
H72,אֶבֶן הָעֵזֶר,Old Testament,Hebrew,noun location,a place in Israel,,3
H73,אַבנֵט,Old Testament,Hebrew,noun,a belt,,9
H74,אַבנֵר אֲבִינֵר,Old Testament,Hebrew,noun proper,an Israelite,,63
H75,אָבַס,Old Testament,Hebrew,verb,stalled.,,2
H76,אֲבַעבּוּעָה,Old Testament,Hebrew,noun,an inflammatory pustule (as eruption),,2
H77,אֶבֶץ,Old Testament,Hebrew,noun location,a place in Israel,,1
H78,אִבצָּן,Old Testament,Hebrew,noun proper,an Israelite,,2
H79,אָבַק,Old Testament,Hebrew,verb,i.e. grapple,,2
H80,אָבָק,Old Testament,Hebrew,noun,powder.,,6
H81,אֲבָקָה,Old Testament,Hebrew,noun,powder,,1
H82,אָבַר,Old Testament,Hebrew,verb,to soar,,1
H83,אֵבֶר,Old Testament,Hebrew,noun,a pinion,,3
H84,אֶברָה,Old Testament,Hebrew,noun,wing,,4
H85,אַברָהָם,Old Testament,Hebrew,noun proper,the later name of Abram,సమూహమునకు తండ్రి,175
H86,אַברֵך,Old Testament,Hebrew,injunction,bow the knee,,1
H87,אַברָם,Old Testament,Hebrew,noun proper,the original name of Abraham,,61
H88,אוֹבוֹת,Old Testament,Hebrew,noun location,a place in the Desert,,4
H89,אָגֵא,Old Testament,Hebrew,noun proper,an Israelite,,1
H90,אֲגַג,Old Testament,Hebrew,noun proper,a title of Amalekitish kings,,8
H91,אֲגָגִי,Old Testament,Hebrew,adjective,an Agagite or descendent (subject) of Agag,,5
H92,אֲגֻדָּה,Old Testament,Hebrew,noun,"bundle, knot, or arch",,4
H93,אֱגוֹז,Old Testament,Hebrew,noun,a nut,,1
H94,אָגוּר,Old Testament,Hebrew,noun proper,a fanciful name for Solomon,,1
H95,אֲגוֹרָה,Old Testament,Hebrew,noun,used only of a small (silver) coin,,1
H96,אֶגֶל,Old Testament,Hebrew,noun,a reservoir,,1
H97,אֶגלַיִם,Old Testament,Hebrew,noun location,a place in Moab,,1
H98,אֲגַם,Old Testament,Hebrew,noun,"pool, standing (water).",,9
H99,אָגֵם,Old Testament,Hebrew,adjective,sad,,1
H100,אַגמוֹן,Old Testament,Hebrew,noun,(by implication) a rush (as growing there); (collectively) a rope of rushes,,5
H101,אַגָּן,Old Testament,Hebrew,noun,"cup, goblet.",,3
H102,אַגָּף,Old Testament,Hebrew,noun,or crowds of troops,,7
H103,אָגַר,Old Testament,Hebrew,verb,to harvest,,3
A104,אִגְּרָא,Old Testament,Aramaic,noun,an epistle (as carried by a state courier or postman),,3
H105,אֲגַרטָּל,Old Testament,Hebrew,noun,a basin,,2
H106,אֶגרוֹף,Old Testament,Hebrew,noun,the clenched hand,,2
H107,אִגֶּרֶת,Old Testament,Hebrew,noun,an epistle,,10
H108,אֵד,Old Testament,Hebrew,noun,vapor.,,2
H109,אָדַב,Old Testament,Hebrew,verb,to languish,,1
H110,אַדבְּאֵל,Old Testament,Hebrew,noun proper,a son of Ishmael,,2
H111,אֲדַד,Old Testament,Hebrew,noun proper,an Edomite,,1
H112,אִדּוֹ,Old Testament,Hebrew,noun proper,an Israelite,,1
H113,אָדוֹן אָדוֹן,Old Testament,Hebrew,noun,i.e. controller (human or divine),ప్రభువు - యజమాని,336
H114,אַדּוֹן,Old Testament,Hebrew,adjective,apparently an Israelite,,1
H115,אֲדוֹרַיִם,Old Testament,Hebrew,noun location,a place in Israel,,1
A116,אֱדַיִן,Old Testament,Aramaic,verb,"that time, then.",,57
H117,אַדִּיר,Old Testament,Hebrew,adjective,"famous, gallant, glorious, goodly, lordly, mighty(- ier one), noble, principal, worthy.",,27
H118,אֲדַליָא,Old Testament,Hebrew,noun proper,a son of Haman,,1
H119,אָדַם,Old Testament,Hebrew,verb,made) red (ruddy),ఎర్రగా చేయు,10
H120,אָדָם,Old Testament,Hebrew,noun,"mankind, etc.)",మానవుడు - మనుష్యుడు,552
H121,אָדָם,Old Testament,Hebrew,noun proper,also of a place in Israel,,11
H122,אָדוֹם,Old Testament,Hebrew,adjective,ruddy.,,9
H123,אֱדוֹם אֱדוֹם,Old Testament,Hebrew,noun proper,hence the region (Idumaea) occupied by him,,100
H124,אוֹדֶם,Old Testament,Hebrew,noun,"i.e. the ruby, garnet, or some other red gem",,3
H125,אֲדַמדָּם,Old Testament,Hebrew,adjective,reddish,,6
H126,אַדמָה,Old Testament,Hebrew,noun location,a place near the Dead Sea,,5
H127,אֲדָמָה,Old Testament,Hebrew,noun,"earth, ground, husband(-man) (-ry), land.",,225
H128,אֲדָמָה,Old Testament,Hebrew,noun location,a place in Israel,,1
H129,אֲדָמִי,Old Testament,Hebrew,noun location,a place in Israel,,1
H130,אֱדוֹמִי,Old Testament,Hebrew,adjective,or descendants from (or inhabitants of) Edom,,12
H131,אֲדוּמִּים,Old Testament,Hebrew,noun location,a pass in Israel,,2
H132,אַדמוֹנִי אַדמוֹנִי,Old Testament,Hebrew,adjective,ruddy.,,3
H133,אַדמָתָא,Old Testament,Hebrew,noun proper,Admatha,,1
H134,אֶדֶן,Old Testament,Hebrew,noun,"a column, etc.)",,57
H135,אַדָּן,Old Testament,Hebrew,noun location,an Israelite,,1
H136,אֲדוֹנָי,Old Testament,Hebrew,noun,the Lord (used as a proper name of God only),ప్రభువు (దేవుని పేరు),438
H137,אֲדוֹנִי ־ בֶּזֶק,Old Testament,Hebrew,noun proper,H966,,3
H138,אֲדוֹנִיָה אֲדוֹנִיָהוּ,Old Testament,Hebrew,noun proper,the name of three Israelites,,26
H139,אֲדוֹנִי ־ צֶּדֶק,Old Testament,Hebrew,noun proper,a Canaanitish king,,2
H140,אֲדוֹנִיקָם,Old Testament,Hebrew,noun proper,the name of one or two Israelites,,3
H141,אֲדוֹנִירָם,Old Testament,Hebrew,noun proper,an Israelite,,2
H142,אָדַר,Old Testament,Hebrew,verb,(figuratively) magnificent,,3
H143,אֲדָר,Old Testament,Hebrew,noun proper time,the 12th Hebrew month,,8
A144,אֲדָר,Old Testament,Aramaic,noun proper time,Adar,,1
H145,אֶדֶר,Old Testament,Hebrew,noun,robe.,,2
H146,אַדָּר,Old Testament,Hebrew,noun proper,(also) an Israelite,,2
A147,אִדַּר,Old Testament,Aramaic,noun,i.e. a threshing-floor,,1
A148,אֲדַרגָּזֵר,Old Testament,Aramaic,noun,or astrologer,,2
A149,אַדרַזדָּא,Old Testament,Aramaic,verb,quickly or carefully,,1
H150,אֲדַרכּוֹן,Old Testament,Hebrew,noun,a daric or Persian coin,,2
H151,אֲדוֹרָם,Old Testament,Hebrew,noun proper,an Israelite,,2
H152,אַדרַמֶּלֶך,Old Testament,Hebrew,noun proper,"the name of an Assyrian idol, also of a son of Sennacherib",,3
A153,אֶדרָע,Old Testament,Aramaic,noun,an arm; (figuratively) power,,1
H154,אֶדרֶעִי,Old Testament,Hebrew,noun location,the name of two places in Israel,,8
H155,אַדֶּרֶת,Old Testament,Hebrew,noun,(also) the same as H0145,,12
H156,אָדַשׁ,Old Testament,Hebrew,verb,to tread out (grain),,1
H157,אָהַב אָהֵב,Old Testament,Hebrew,verb,"-ly, -r), like, friend.",ప్రేమించు,210
H158,אַהַב,Old Testament,Hebrew,noun,affection (in a good or a bad sense),,2
H159,אוֹהַב,Old Testament,Hebrew,noun,meaning the same as H0158,,1
H160,אַהֲבָה,Old Testament,Hebrew,noun,love,,40
H161,אוֹהַד,Old Testament,Hebrew,noun proper,an Israelite,,2
H162,אֲהָהּ,Old Testament,Hebrew,injunction,alas.,,15
H163,אַהֲוָא,Old Testament,Hebrew,noun location,a river of Babylonia,,3
H164,אֵהוּד,Old Testament,Hebrew,noun proper,the name of two or three Israelites,,9
H165,אֱהִי,Old Testament,Hebrew,verb,where,,3
H166,אָהַל,Old Testament,Hebrew,verb,to be clear,,1
H167,אָהַל,Old Testament,Hebrew,verb,to tent,,3
H168,אוֹהֶל,Old Testament,Hebrew,noun,"(dwelling)(place), home, tabernacle, tent.",,349
H169,אוֹהֶל,Old Testament,Hebrew,noun proper,an Israelite,,1
H170,אָהֳלָה אָהֳלָהּ,Old Testament,Hebrew,noun proper,"her tent (i.e. idolatrous sanctuary); Oholah, a symbol. name for Samaria",,5
H171,אָהֳלִיאָב,Old Testament,Hebrew,noun proper,an Israelite,,5
H172,אָהֳלִיבָּה אָהֳלִיבָּהּ,Old Testament,Hebrew,noun proper,a symbolic name for Judah,,6
H173,אָהֳלִיבָּמָה,Old Testament,Hebrew,noun proper,a wife of Esau,,8
H174,אֲהָלִים אֲהָלוֹת,Old Testament,Hebrew,noun,aloe wood (i.e. sticks),,4
H175,אַהֲרוֹן,Old Testament,Hebrew,noun proper,the brother of Moses,,347
H176,אוֹ אַו,Old Testament,Hebrew,conjunction,also if,,321
H177,אוּאֵל,Old Testament,Hebrew,noun proper,and Israelite,,1
H178,אוֹב,Old Testament,Hebrew,noun,"a necromancer (ventriloquist, as from a jar)",,17
H179,אוֹבִיל,Old Testament,Hebrew,noun proper,an Ishmaelite,,1
H180,אוּבָל אוּבָל,Old Testament,Hebrew,noun,H2988,,3
H181,אוּד,Old Testament,Hebrew,noun,a poker (for turning or gathering embers),,3
H182,אוֹדוֹת אוֹדוֹת,Old Testament,Hebrew,noun,"concerning, sake.",,11
H183,אָוָה,Old Testament,Hebrew,verb,"(greatly) desire, be desirous, long, lust (after).",,28
H184,אָוָה,Old Testament,Hebrew,verb,to extend or mark out,,1
H185,אַוָּה,Old Testament,Hebrew,noun,"lust after, pleasure.",,7
H186,אוּזַי,Old Testament,Hebrew,noun proper,an Israelite,,1
H187,אוּזָל,Old Testament,Hebrew,noun proper,a son of Joktan,,2
H188,אוֹי,Old Testament,Hebrew,injunction,woe.,,24
H189,אֱוִי,Old Testament,Hebrew,noun proper,a Midianitish chief,,2
H190,אוֹיָה,Old Testament,Hebrew,injunction,woe,,1
H191,אֱוִיל,Old Testament,Hebrew,adjective,(figuratively) silly,,26
H192,אֱוִיל מְרוֹדַך,Old Testament,Hebrew,noun proper,a Babylonian king,,2
H193,אוּל,Old Testament,Hebrew,noun,"by implication, to be strong]",,1
H194,אוּלַי אוּלַי,Old Testament,Hebrew,verb,"may be, peradventure, unless.",,45
H195,אוּלַי,Old Testament,Hebrew,noun location,a river of Persia,,2
H196,אֱוִלִי,Old Testament,Hebrew,adjective,hence (morally) impious,,2
H197,אוּלָם אוּלָם,Old Testament,Hebrew,noun,a vestibule (as bound to the building),,34
H198,אוּלָם,Old Testament,Hebrew,noun proper,the name of two Israelites,,4
H199,אוּלָם,Old Testament,Hebrew,verb,"but, howbeit, in very deed, surely, truly, wherefore.",,19
H200,אִוֶּלֶת,Old Testament,Hebrew,noun,foolishly(-ness).,,25
H201,אוֹמָר,Old Testament,Hebrew,noun proper,a grandson of Esau,,3
H202,אוֹן,Old Testament,Hebrew,noun,"power, (figuratively) wealth",,12
H203,אוֹן,Old Testament,Hebrew,noun proper,an Israelite,,1
H204,אוֹן אוֹן,Old Testament,Hebrew,noun location,a city of Egypt,,3
H205,אָוֶן,Old Testament,Hebrew,noun,(specifically) an idol,,79
H206,אָוֶן,Old Testament,Hebrew,noun location,"the contemptuous synonym of three places, one in Coele-Syria, one in Egypt (On), and one in Israel (Bethel)",,1
H207,אוֹנוֹ אוֹנוֹ,Old Testament,Hebrew,noun location,a place in Israel,,5
H208,אוֹנָם,Old Testament,Hebrew,noun proper,the name of an Edomite and of an Israelite,,4
H209,אוֹנָן,Old Testament,Hebrew,noun proper,a son of Judah,,8
H210,אוּפָז,Old Testament,Hebrew,noun location,a famous gold region,,2
H211,אוֹפִיר אוֹפִיר אוֹפִר,Old Testament,Hebrew,noun proper,"the name of a son of Joktan, and of a gold region in the East",,13
H212,אוֹפָן אוֹפָן,Old Testament,Hebrew,noun,a wheel,,35
H213,אוּץ,Old Testament,Hebrew,verb,"hurry, withdraw",,1
H214,אוֹצָר,Old Testament,Hebrew,noun,"cellar, garner, store(-house), treasure(-house) (-y).",,79
H215,אוֹר,Old Testament,Hebrew,verb,make) luminous (literally and metaphorically),,41
H216,אוֹר,Old Testament,Hebrew,noun,"including lightning, happiness, etc.)",,123
H217,אוּר,Old Testament,Hebrew,noun,light. See also H0224.,,6
H218,אוּר,Old Testament,Hebrew,noun location,(also) an Israelite,,5
H219,אוֹרָה,Old Testament,Hebrew,noun,light.,,5
H220,אֲוֵרָה,Old Testament,Hebrew,noun,a stall,,1
H221,אוּרִי,Old Testament,Hebrew,noun proper,the name of three Israelites,,8
H222,אוּרִיאֵל,Old Testament,Hebrew,noun proper,the name of two Israelites,,4
H223,אוּרִיָה אוּרִיָהוּ,Old Testament,Hebrew,noun proper,the name of one Hittite and five Israelites,,39
H224,אוּרִים,Old Testament,Hebrew,noun,the oracular brilliancy of the figures in the high-priest's breastplate,,7
H225,אוּת,Old Testament,Hebrew,verb,(properly) to come; (implied) to assent,,4
H226,אוֹת,Old Testament,Hebrew,noun,"as a flag, beacon, monument, omen, prodigy, evidence, etc",,79
H227,אָז,Old Testament,Hebrew,verb,"for, from, hitherto, now, of old, once, since, then, at which time, yet.",,141
A228,אֲזָא אֲזָה,Old Testament,Aramaic,verb,hot.,,3
H229,אֶזבַּי,Old Testament,Hebrew,noun proper,an Israelite,,1
A230,אֲזָד,Old Testament,Aramaic,verb,firm,,2
H231,אֵזוֹב,Old Testament,Hebrew,noun,hyssop,,10
H232,אֵזוֹר,Old Testament,Hebrew,noun,also a band,,14
H233,אֲזַי,Old Testament,Hebrew,verb,at that time,,3
H234,אַזכָּרָה,Old Testament,Hebrew,noun,a reminder; specifically remembrance- offering,,7
H235,אָזַל,Old Testament,Hebrew,verb,"gad about, go to and fro (but in Ezek. 27",,6
A236,אֲזַל,Old Testament,Aramaic,verb,to depart,,7
H237,אֶזֶל,Old Testament,Hebrew,noun location,a memorial stone in Israel,,1
H238,אָזַן,Old Testament,Hebrew,verb,probably to expand; but used only as a denominative from H241],,42
H239,אָזַן,Old Testament,Hebrew,verb,to weigh; (figuratively) ponder,,1
H240,אָזֵן,Old Testament,Hebrew,noun,a spade or paddle (as having a broad end),,1
H241,אוֹזֶן,Old Testament,Hebrew,noun,"audience, + displease, ear, hearing, + show.",విశాలత; (కాంక్రీట్) చెవి (మనిషిలో దాని రూపం నుండి),188
H242,אוּזֵּן שֶׁאֱרָה,Old Testament,Hebrew,noun location,a place in Israel,,1
H243,אַזנוֹת תָּבוֹר,Old Testament,Hebrew,noun location,a place in Israel,,1
H244,אָזנִי,Old Testament,Hebrew,noun proper,(also) an Oznite,,2
H245,אֲזַניָה,Old Testament,Hebrew,noun proper,an Israelite,,1
H246,אֲזִקִּים,Old Testament,Hebrew,noun,manacles,,2
H247,אָזַר,Old Testament,Hebrew,verb,"gird (up, with).",,16
H248,אֶזרוַֹע,Old Testament,Hebrew,noun,the arm,,2
H249,אֶזרָח,Old Testament,Hebrew,noun,"(home-)born (in the land), of the (one's own) country (nation).",,17
H250,אֶזרָחִי,Old Testament,Hebrew,adjective,an Ezrachite or descendant of Zerach,,3
H251,אָח,Old Testament,Hebrew,noun,"brother(-ly); kindred, like, other.",ఒక సోదరుడు (అక్షర సంబంధం మరియు రూపక అనుబంధం లేదా సారూప్యత (H0001 వంటివి) యొక్క విస్తృత అర్థంలో ఉపయోగించబడుతుంది),630
A252,אַח,Old Testament,Aramaic,noun,brother,,2
H253,אָח,Old Testament,Hebrew,injunction,alas.,,2
H254,אָח,Old Testament,Hebrew,noun,a fire-pot or chafing dish,,3
H255,אוַֹח,Old Testament,Hebrew,noun,a howler or lonesome wild animal,,1
H256,אַחאָב אֶחָב,Old Testament,Hebrew,noun proper,the name of a king of Israel and of a prophet at Babylon,,93
H257,אַחבָּן,Old Testament,Hebrew,noun proper,an Israelite,,1
H258,אָחַד,Old Testament,Hebrew,verb,to unify; (figuratively) collect (one's thoughts),,1
H259,אֶחָד,Old Testament,Hebrew,adjective,(as an ordinal) first,"(సరిగ్గా) ఐక్యంగా, అంటే ఒకటి; (ఆర్డినల్‌గా) మొదట",976
H260,אָחוּ,Old Testament,Hebrew,noun,meadow.,,3
H261,אֵחוּד,Old Testament,Hebrew,noun proper,the name of three Israelites,,1
H262,אַחוָה,Old Testament,Hebrew,noun,H2324,,1
A263,אַחֲוָה,Old Testament,Aramaic,noun,solution (of riddles),,1
H264,אַחֲוָה,Old Testament,Hebrew,noun,fraternity,,1
H265,אֲחוַֹח,Old Testament,Hebrew,noun proper,an Israelite,,1
H266,אֲחוֹחִי,Old Testament,Hebrew,adjective,an Achochite or descendant of Achoach,,5
H267,אֲחוּמַי,Old Testament,Hebrew,noun proper,an Israelite,,1
H268,אָחוֹר אָחוֹר,Old Testament,Hebrew,substantive,"(also, as facing north) the West",,41
H269,אָחוֹת,Old Testament,Hebrew,noun,literally and figuratively),"ఒక సోదరి (చాలా విస్తృతంగా ఉపయోగించబడుతుంది (H0250 వంటివి), అక్షరాలా మరియు అలంకారికంగా)",119
H270,אָחַז,Old Testament,Hebrew,verb,"bar, (catch, lay, take) hold (back), come upon, fasten, handle, portion, (get, have or take) possess(-ion).",,68
H271,אָחָז,Old Testament,Hebrew,noun proper,the name of a Jewish king and of an Israelite,,41
H272,אֲחוּזָּה,Old Testament,Hebrew,noun,i.e. a possession (especially of land),,66
H273,אַחזַי,Old Testament,Hebrew,noun proper,an Israelite,,1
H274,אֲחַזיָה אֲחַזיָהוּ,Old Testament,Hebrew,noun proper,the name of a Jewish and an Israelite king,,37
H275,אֲחוּזָּם,Old Testament,Hebrew,noun proper,an Israelite,,1
H276,אֲחוּזַּת,Old Testament,Hebrew,noun proper,a Philistine,,1
H277,אֲחִי,Old Testament,Hebrew,noun proper,the name of two Israelites,,2
H278,אֵחִי,Old Testament,Hebrew,noun proper,an Israelite,,1
H279,אֲחִיאָם,Old Testament,Hebrew,noun proper,an Israelite,,2
A280,אֲחִידָּה,Old Testament,Aramaic,noun,an enigma],,1
H281,אֲחִיָה אֲחִיָהוּ,Old Testament,Hebrew,noun proper,the name of nine Israelites,,24
H282,אֲחִיהוּד,Old Testament,Hebrew,noun proper,an Israelite,,1
H283,אַחיוֹ,Old Testament,Hebrew,noun proper,the name of three Israelites,,6
H284,אֲחִיחוּד,Old Testament,Hebrew,noun proper,an Israelite,,1
H285,אֲחִיטּוּב,Old Testament,Hebrew,noun proper,the name of several priests,,15
H286,אֲחִילוּד,Old Testament,Hebrew,noun proper,an Israelite,,5
H287,אֲחִימוֹת,Old Testament,Hebrew,noun proper,an Israelite,,1
H288,אֲחִימֶלֶך,Old Testament,Hebrew,noun proper,the name of an Israelite and of a Hittite,,17
H289,אֲחִימַן אֲחִימָן,Old Testament,Hebrew,noun proper,the name of an Anakite and of an Israelite,,4
H290,אֲחִימַעַץ,Old Testament,Hebrew,noun location,the name of three Israelites,,15
H291,אַחיָן,Old Testament,Hebrew,noun proper,an Israelite,,1
H292,אֲחִינָדָב,Old Testament,Hebrew,noun proper,an Israelite,,1
H293,אֲחִינוֹעַם,Old Testament,Hebrew,noun proper,the name of two Israelitesses,,7
H294,אֲחִיסָמָך,Old Testament,Hebrew,noun proper,an Israelite,,3
H295,אֲחִיעֶזֶר,Old Testament,Hebrew,noun proper,the name of two Israelites,,6
H296,אֲחִיקָם,Old Testament,Hebrew,noun proper,an Israelite,,20
H297,אֲחִירָם,Old Testament,Hebrew,noun proper,an Israelite,,1
H298,אֲחִירָמִי,Old Testament,Hebrew,adjective,an Achiramite or descendant (collectively) of Achiram,,1
H299,אֲחִירַע,Old Testament,Hebrew,noun proper,an Israelite,,5
H300,אֲחִישַׁחַר,Old Testament,Hebrew,noun proper,an Israelite,,1
H301,אֲחִישָׁר,Old Testament,Hebrew,noun proper,an Israelite,,1
H302,אֲחִיתּוֹפֶל,Old Testament,Hebrew,noun proper,an Israelite,,20
H303,אַחלָב,Old Testament,Hebrew,noun location,a place in Israel,,1
H304,אַחלַי,Old Testament,Hebrew,noun proper,the name of an Israelitess and of an Israelite,,2
H305,אַחֲלַי אַחֲלֵי,Old Testament,Hebrew,injunction,would God.,,2
H306,אַחלָמָה,Old Testament,Hebrew,noun,probably the amethyst,,2
H307,אַחמְתָא,Old Testament,Hebrew,noun location,the summer capital of Persia,,1
H308,אֲחַסבַּי,Old Testament,Hebrew,noun proper,an Israelite,,1
H309,אָחַר,Old Testament,Hebrew,verb,"defer, delay, hinder, be late (slack), stay (there), tarry (longer).",,18
H310,אַחַר,Old Testament,Hebrew,verb,as adverb or conjunction) after (in various senses),,718
A311,אַחַר,Old Testament,Aramaic,verb,after,,3
H312,אַחֵר,Old Testament,Hebrew,adjective,"other, etc",,166
H313,אַחֵר,Old Testament,Hebrew,noun proper,an Israelite,,1
H314,אַחֲריוֹן אַחֲרוֹן,Old Testament,Hebrew,adjective,"to come, following, hind(-er, -ermost, -most), last, latter, rereward, ut(ter)most.",,51
H315,אַחרַח,Old Testament,Hebrew,noun proper,H251,,1
H316,אֲחַרחֵל,Old Testament,Hebrew,noun proper,an Israelite,,1
A317,אָחֳרִי,Old Testament,Aramaic,adjective,other,,6
A318,אָחֳרֵין אָחֳרֵן,Old Testament,Aramaic,verb,last,,1
H319,אַחֲרִיתּ,Old Testament,Hebrew,noun,"latter) end (time), hinder (utter) -most, length, posterity, remnant, residue, reward.",,61
A320,אַחֲרִיתּ,Old Testament,Aramaic,noun,the same as H319],,1
A321,אָחֳרָן,Old Testament,Aramaic,adjective,the same as H317],,5
