Strong's Number,Original Word,English Meaning,Telugu Word,Telugu Meaning,Language,Testament
H0055,אָבַך,"abak (aw-bak') v.",,దుమ్ము దుమ్ము చేయు,Hebrew,Old Testament
H0056,אָבַל,"abal (aw-bal') v.",,దుఃఖించు,Hebrew,Old Testament
H0057,אָבֵל,"abel (aw-bale') adj.",,దుఃఖించు,Hebrew,Old Testament
H0058,אָבֵל,"a meadow",,పచ్చిక బయలు,Hebrew,Old Testament
H0059,אָבֵל,"Abel (aw-bale') n/l.",,హేబెలు,Hebrew,Old Testament
H0060,אֵבֶל,"lamentation",,విలాపము,Hebrew,Old Testament
H0061,אֲבָל,"abal (ab-awl') adv.",,అయితే,Hebrew,Old Testament
H0062,אָבֵל בֵּיתּ מֲעַכָה,"Abel Beyth-Ma`akah (aw-bale' bayth ma-a-kaw') n/l.",,ఆబేల్ బేత్-మయకా,Hebrew,Old Testament
H0063,אָבֵל הַשִּׁטִּים,"Abel hash-Shittiym (aw-bale' hash-shit-teem') n/l.",,ఆబేల్ హష్-షిట్టీమ్,Hebrew,Old Testament
H0064,אָבֵל כְּרָמִים,"Abel Kramiym (aw-bale' ker-aw-meem') n/l.",,ఆబేల్ కెరామీమ్,Hebrew,Old Testament
H0065,אָבֵל מְחוֹלָה,"Abel Mchowlah (aw-bale' mekh-o-law') n/l.",,ధర్మశాస్త్రం,Hebrew,Old Testament
H0066,אַבֵל מַיִם,"Abel Mayim (aw-bale' mah'-yim) n/l.",,ఆబేల్ మాయిమ్,Hebrew,Old Testament
H0067,אָבֵל מִצרַיִם,"Abel Mitsrayim (aw-bale' mits-rah'-yim) n/l.",,ఆబేల్ మిస్రాయిమ్,Hebrew,Old Testament
H0068,אֶבֶן,"a stone",ఎబెన్,రాయి,Hebrew,Old Testament
H0069,אֶבֶן,"stone",,రాయి,Hebrew,Old Testament
H0070,אוֹבֶן,"a pair of stones (only dual)",,రాయి,Hebrew,Old Testament
H0071,אֲבָנָה,"Abanah (ab-aw-naw') n/l.",,అబానా,Hebrew,Old Testament
H0072,אֶבֶן הָעֵזֶר,"Eben ha-`ezer (eh'-ben haw-e'-zer) n/l.",,ఎబెన్ హా-ఎజెర్,Hebrew,Old Testament
H0073,אַבנֵט,"a belt",,నడికట్టు,Hebrew,Old Testament
H0074,אַבנֵר אֲבִינֵר,"Abner (ab-nare') (or (fully) nAbiyner ab-ee-nare') n/p.",,అబ్నేరు,Hebrew,Old Testament
H0075,אָבַס,"abac (aw-bas') v.",,పోయు,Hebrew,Old Testament
H0076,אֲבַעבּוּעָה,"an inflammatory pustule (as eruption)",,అర్థం తెలియదు,Hebrew,Old Testament
H0077,אֶבֶץ,"Ebets (eh'-bets) n/l.",,ఎబేసు,Hebrew,Old Testament
H0078,אִבצָּן,"Ibtsan (ib-tsawn') n/p.",,ఇబ్సాను,Hebrew,Old Testament
H0079,אָבַק,"abaq (aw-bak') v.",,పొడిచేయు,Hebrew,Old Testament
H0080,אָבָק,"light particles (as volatile)",,వెలుగు,Hebrew,Old Testament
H0081,אֲבָקָה,"powder",,పొడి,Hebrew,Old Testament
H0082,אָבַר,"abar (aw-bar') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H0083,אֵבֶר,"a pinion",,అర్థం తెలియదు,Hebrew,Old Testament
H0084,אֶברָה,"feather",,ఈక,Hebrew,Old Testament
H0085,אַברָהָם,"Abraham (ab-raw-hawm') n/p.",అబ్రాహాం,సమూహమునకు తండ్రి,Hebrew,Old Testament
H0086,אַברֵך,"abrek (ab-rake') inj.",,అర్థం తెలియదు,Hebrew,Old Testament
H0087,אַברָם,"Abram (ab-rawm') n/p.",,అబ్రాము,Hebrew,Old Testament
H0088,אוֹבוֹת,"oboth (o-both') n/l.",,ఓబోతు,Hebrew,Old Testament
H0089,אָגֵא,"Age' (aw-gay') n/p.",,ఆగే,Hebrew,Old Testament
H0090,אֲגַג,"Agag (ag-ag') (or uAgag Ag-awg') n/p.",,అగగు,Hebrew,Old Testament
H0091,אֲגָגִי,"Agagiy (ag-aw-ghee') adj.",,అగగీయుడు,Hebrew,Old Testament
H0092,אֲגֻדָּה,"a band",,గుంపు,Hebrew,Old Testament
H0093,אֱגוֹז,"a nut",,ఒక గింజ,Hebrew,Old Testament
H0094,אָגוּר,"Aguwr (aw-goor') n/p.",,ఆగూరు,Hebrew,Old Testament
H0095,אֲגוֹרָה,"(properly) something gathered",,అర్థం తెలియదు,Hebrew,Old Testament
H0096,אֶגֶל,"a reservoir",,ఒక జలాశయం,Hebrew,Old Testament
H0097,אֶגלַיִם,"Eglayim (eg-lah'-yim) n/l.",,ఎగ్లాయిము,Hebrew,Old Testament
H0098,אֲגַם,"a marsh",,బురదనేల,Hebrew,Old Testament
H0099,אָגֵם,"agem (aw-game') adj.",,అర్థం తెలియదు,Hebrew,Old Testament
H0100,אַגמוֹן,"a marshy pool (others from a different root",,అర్థం తెలియదు,Hebrew,Old Testament
H0101,אַגָּן,"a bowl (as pounded out hollow)",,ఒక గిన్నె,Hebrew,Old Testament
H0102,אַגָּף,"a cover or heap",,ఒక కవర్ లేదా కుప్ప,Hebrew,Old Testament
H0103,אָגַר,"agar (aw-gar') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H0104,אִגְּרָא,"an epistle (as carried by a state courier or postman)",,మనిషి,Hebrew,Old Testament
H0105,אֲגַרטָּל,"a basin",,పాపం,Hebrew,Old Testament
H0106,אֶגרוֹף,"the clenched hand",,చేయి,Hebrew,Old Testament
H0107,אִגֶּרֶת,"an epistle",,ఒక లేఖ,Hebrew,Old Testament
H0108,אֵד,"a fog",,ఒక పొగమంచు,Hebrew,Old Testament
H0109,אָדַב,"adab (aw-dab') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H0110,אַדבְּאֵל,"Adb'el (ad-beh-ale') n/p.",,అద్బెయేలు,Hebrew,Old Testament
H0111,אֲדַד,"Adad (ad-ad') n/p.",,అదదు,Hebrew,Old Testament
H0112,אִדּוֹ,"Iddow (id-do) n/p.",,ఇద్దో,Hebrew,Old Testament
H0113,אָדוֹן אָדוֹן,"sovereign",ఆదోన్,ప్రభువు,Hebrew,Old Testament
H0114,אַדּוֹן,"Addown (ad-done') adj.",,ఒకటి,Hebrew,Old Testament
H0115,אֲדוֹרַיִם,"Adowrayim (ad-o-rah'-yim) n/l.",,అదొరాయిము,Hebrew,Old Testament
H0116,אֱדַיִן,"edayin (ed-ah'-yin) adv.",,దినము,Hebrew,Old Testament
H0117,אַדִּיר,"addiyr (ad-deer') adj.",,అద్దీరు,Hebrew,Old Testament
H0118,אֲדַליָא,"Adalya' (ad-al-yaw') n/p.",,అర్థం తెలియదు,Hebrew,Old Testament
H0119,אָדַם,"adam (aw-dam') v.",ఆదమ్,ఎర్రగా చేయు,Hebrew,Old Testament
H0120,אָדָם,"ruddy i.e. a human being (an individual or the species",ఆదాం,మానవుడు,Hebrew,Old Testament
H0121,אָדָם,"Adam (aw-dawm') n/p.",ఆదాం,ఆదాము,Hebrew,Old Testament
H0122,אָדוֹם,"adom (aw-dome') adj.",,ఎరుపు,Hebrew,Old Testament
H0123,אֱדוֹם אֱדוֹם,"Edom (ed-ome') (or (fully) oEdowm ed-ome') n/p.",,ఎదోము,Hebrew,Old Testament
H0124,אוֹדֶם,"redness",,ఎరుపు రంగు,Hebrew,Old Testament
H0125,אֲדַמדָּם,"adamdam (ad-am-dawm') adj.",,అర్థం తెలియదు,Hebrew,Old Testament
H0126,אַדמָה,"Admah (ad-maw') n/l.",,అద్మా,Hebrew,Old Testament
H0127,אֲדָמָה,"soil (from its general redness)",,నూనె,Hebrew,Old Testament
H0128,אֲדָמָה,"Adamah (ad-aw-maw') n/l.",,నేల,Hebrew,Old Testament
H0129,אֲדָמִי,"Adamiy (ad-aw-mee') n/l.",,అర్థం తెలియదు,Hebrew,Old Testament
H0130,אֱדוֹמִי,"Edomiy (ed-o-mee') (or (fully) aEdowmiy ed-o-mee') adj.",,ఎదోమీయుడు,Hebrew,Old Testament
H0131,אֲדוּמִּים,"Adummiym (ad-oom-meem') n/l.",,అర్థం తెలియదు,Hebrew,Old Testament
H0132,אַדמוֹנִי אַדמוֹנִי,"admoniy (ad-mo-nee') (or (fully) admowniy ad-mo-nee') adj.",,అర్థం తెలియదు,Hebrew,Old Testament
H0133,אַדמָתָא,"Admatha' (ad-maw-thaw') n/p.",,అర్థం తెలియదు,Hebrew,Old Testament
H0134,אֶדֶן,"a basis (of a building",,అడుగు,Hebrew,Old Testament
H0135,אַדָּן,"Addan (ad-dawn') n/l.",,అద్దాను,Hebrew,Old Testament
H0136,אֲדוֹנָי,"the Lord (used as a proper name of God only)",అదొనాయ్,ప్రభువు,Hebrew,Old Testament
H0137,אֲדוֹנִי ־ בֶּזֶק,"Adoniy-Bezeq (ad-o''-nee-beh'-zek) n/p.",,అదోనీ-బెజెకు,Hebrew,Old Testament
H0138,אֲדוֹנִיָה אֲדוֹנִיָהוּ,"Adoniyah (ad-o-nee-yaw') (original (prolonged) dAdoniyahuw ad-o-nee- yaw'-hoo) n/p.",,అదోనియా,Hebrew,Old Testament
H0139,אֲדוֹנִי ־ צֶּדֶק,"Adoniy-Tsedeq (ad-o''-nee-tseh'-dek) n/p.",,అదోనీ-సెదెకు,Hebrew,Old Testament
H0140,אֲדוֹנִיקָם,"Adoniyqam (ad-o-nee-kawm') n/p.",,అదోనీకాము,Hebrew,Old Testament
H0141,אֲדוֹנִירָם,"Adoniyram (ad-o-nee-rawm') n/p.",,అదోనీరాము,Hebrew,Old Testament
H0142,אָדַר,"adar (aw-dar') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H0143,אֲדָר,"Adar (ad-awr') n/t.",,ఆదారు,Hebrew,Old Testament
H0144,אֲדָר,"Adar (ad-awr') n/t.",,ఆదారు,Hebrew,Old Testament
H0145,אֶדֶר,"amplitude",,అర్థం తెలియదు,Hebrew,Old Testament
H0146,אַדָּר,"Addar (ad-dawr') n/p.",,అద్దరు,Hebrew,Old Testament
H0147,אִדַּר,"ample",,అర్థం తెలియదు,Hebrew,Old Testament
H0148,אֲדַרגָּזֵר,"a chief diviner",,అర్థం తెలియదు,Hebrew,Old Testament
H0149,אַדרַזדָּא,"adrazda' (ad-raz-daw') adv.",,అర్థం తెలియదు,Hebrew,Old Testament
H0150,אֲדַרכּוֹן,"a daric or Persian coin",,అర్థం తెలియదు,Hebrew,Old Testament
H0151,אֲדוֹרָם,"Adoram (ad-o-rawm') n/p.",,అదోరాము,Hebrew,Old Testament
H0152,אַדרַמֶּלֶך,"Adrammelek (ad-ram-meh'-lek) n/p.",,అద్రమ్మెలెకు,Hebrew,Old Testament
H0153,אֶדרָע,"an arm",,ఒక చేయి,Hebrew,Old Testament
H0154,אֶדרֶעִי,"edre`iy (ed-reh'-ee) n/l.",,ఎద్రెయి,Hebrew,Old Testament
H0155,אַדֶּרֶת,"something ample (as a large vine",,పెద్ద ద్రాక్షతీగవలె సమృద్ధిగా,Hebrew,Old Testament
H0156,אָדַשׁ,"adash (aw-dash') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H0157,אָהַב אָהֵב,"ahab (aw-hab') (or raheb aw-habe') v.",ఆహబ్,ప్రేమించు,Hebrew,Old Testament
H0158,אַהַב,"affection (in a good or a bad sense)",,మంచి,Hebrew,Old Testament
H0159,אוֹהַב,"meaning the same as H0158",,H0158 వలె అదే అర్ధం,Hebrew,Old Testament
H0160,אַהֲבָה,"love",,ప్రేమ,Hebrew,Old Testament
H0161,אוֹהַד,"Ohad (o'-had) n/p.",,ఓహాద్,Hebrew,Old Testament
H0162,אֲהָהּ,"ahahh (a-haw') inj.",,అహాహా,Hebrew,Old Testament
H0163,אַהֲוָא,"Ahava' (a-hav-aw') n/l.",,అహవా,Hebrew,Old Testament
H0164,אֵהוּד,"Ehuwd (ay-hood') n/p.",,ఏహుద్,Hebrew,Old Testament
H0165,אֱהִי,"ehiy (e-hee') adv.",,ఏహీ,Hebrew,Old Testament
H0166,אָהַל,"ahal (aw-hal') v.",,ఓహల్,Hebrew,Old Testament
H0167,אָהַל,"ahal (aw-hal') v.",,ఓహల్,Hebrew,Old Testament
H0168,אוֹהֶל,"a tent (as clearly conspicuous from a distance)",,చెవి,Hebrew,Old Testament
H0169,אוֹהֶל,"Ohel (o'-hel) n/p.",,ఓహేల్,Hebrew,Old Testament
H0170,אָהֳלָה אָהֳלָהּ,"Oholah (o-hol-aw') (in form a feminine of H168",,తొమ్మిది,Hebrew,Old Testament
H0171,אָהֳלִיאָב,"Oholiy'ab (o''-hol-e-awb') n/p.",,ఒహోలీయాబు,Hebrew,Old Testament
H0172,אָהֳלִיבָּה אָהֳלִיבָּהּ,"Oholiybah (o''-hol-ee-baw') ((similarly with H170) for hOholiybahh o''-hol-e-baw') n/p.",,ఓహోలీబా,Hebrew,Old Testament
H0173,אָהֳלִיבָּמָה,"Oholiybamah (o''-hol-ee-baw-maw') n/p.",,ఓహోలీబామా,Hebrew,Old Testament
H0174,אֲהָלִים אֲהָלוֹת,"aloe wood (i.e. sticks)",,కలప,Hebrew,Old Testament
H0175,אַהֲרוֹן,"Aharown (a-har-one') n/p.",అహరోన్,అహరోను,Hebrew,Old Testament
H0176,אוֹ אַו,"ow (o) (presumed to be the constructive or genitival form of -av av) conj.",,ఉండు,Hebrew,Old Testament
H0177,אוּאֵל,"Uw'el (oo-ale') n/p.",,ఊవేల్,Hebrew,Old Testament
H0178,אוֹב,"(properly) a mumble",,సణుగుడు,Hebrew,Old Testament
H0179,אוֹבִיל,"owbiyl (o-beel') n/p.",,ఓబీల్,Hebrew,Old Testament
H0180,אוּבָל אוּבָל,"a stream",,ఒక ప్రవాహం,Hebrew,Old Testament
H0181,אוּד,"a poker (for turning or gathering embers)",,నిప్పులు తిప్పుటకు లేదా కూర్చుటకు ఉపయోగించే పోకర్,Hebrew,Old Testament
H0182,אוֹדוֹת אוֹדוֹת,"turnings (i.e. occasions)",,మలుపులు అనగా సందర్భాలు,Hebrew,Old Testament
H0183,אָוָה,"avah (aw-vaw') v.",,ఆవా,Hebrew,Old Testament
H0184,אָוָה,"avah (aw-vaw') v.",,ఆవా,Hebrew,Old Testament
H0185,אַוָּה,"longing",,ఆశ,Hebrew,Old Testament
H0186,אוּזַי,"Uwzay (oo-zah'-ee) n/p.",,ఊజాయి,Hebrew,Old Testament
H0187,אוּזָל,"Uwzal (oo-zawl') n/p.",,ఊజాలు,Hebrew,Old Testament
H0188,אוֹי,"owy (o'-ee) inj.",,ఓయ్,Hebrew,Old Testament
H0189,אֱוִי,"Eviy (ev-ee') n/p.",,ఏవీ,Hebrew,Old Testament
H0190,אוֹיָה,"owyah (o-yaw') inj.",,ఓయా,Hebrew,Old Testament
H0191,אֱוִיל,"eviyl (ev-eel') adj.",ఎవిల్,మూర్ఖుడు,Hebrew,Old Testament
H0192,אֱוִיל מְרוֹדַך,"Eviyl Mrodak (ev-eel' mer-o-dak') n/p.",,ఎవీల్ మెరోదాక్,Hebrew,Old Testament
H0193,אוּל,"the body (as being rolled together)",,కలిసి చుట్టబడినట్లుగా ఉన్న శరీరము,Hebrew,Old Testament
H0194,אוּלַי אוּלַי,"uwlay (oo-lah'ee) (or (shortened) rulay oo-lah'ee) adv.",,పది,Hebrew,Old Testament
H0195,אוּלַי,"Uwlay (oo-lah'ee) n/l.",,ఒకవేళ,Hebrew,Old Testament
H0196,אֱוִלִי,"eviliy (ev-ee-lee') adj.",,దుష్టత్వం,Hebrew,Old Testament
H0197,אוּלָם אוּלָם,"a vestibule (as bound to the building)",,భవనానికి కట్టబడిన వరండా,Hebrew,Old Testament
H0198,אוּלָם,"Uwlam (oo-lawm') n/p.",,ధర్మశాస్త్రం,Hebrew,Old Testament
H0199,אוּלָם,"uwlam (oo-lawm') adv.",ఊలామ్,అయితే,Hebrew,Old Testament
H0200,אִוֶּלֶת,"silliness",,వెర్రితనం,Hebrew,Old Testament
H0201,אוֹמָר,"Owmar (o-mawr') n/p.",,ఓమరు,Hebrew,Old Testament
H0202,אוֹן,"ability",,సామర్థ్యం,Hebrew,Old Testament
H0203,אוֹן,"Own (one) n/p.",,ఒకటి,Hebrew,Old Testament
H0204,אוֹן אוֹן,"Own (one) (or (shortened) On one",,ఒకటి,Hebrew,Old Testament
H0205,אָוֶן,"(strictly) nothingness",,ఖచ్చితంగా శూన్యం,Hebrew,Old Testament
H0206,אָוֶן,"Aven (aw'-ven) n/l.",,అర్థం తెలియదు,Hebrew,Old Testament
H0207,אוֹנוֹ אוֹנוֹ,"Ownow (o-no') (or (shortened) Onow o-no') n/l.",,పది,Hebrew,Old Testament
H0208,אוֹנָם,"Ownam (o-nawm') n/p.",,ఓనాము,Hebrew,Old Testament
H0209,אוֹנָן,"Ownan (o-nawn') n/p.",,ఓనాను,Hebrew,Old Testament
H0210,אוּפָז,"Uwphaz (oo-fawz') n/l.",,అర్థం తెలియదు,Hebrew,Old Testament
H0211,אוֹפִיר אוֹפִיר אוֹפִר,"Owphiyr (o-feer') (or (shortened) pOphiyr o-feer'and fOwphir o- feer') n/p.",,పది,Hebrew,Old Testament
H0212,אוֹפָן אוֹפָן,"a wheel",,చక్రం,Hebrew,Old Testament
H0213,אוּץ,"uwts (oots) v.",,అర్థం తెలియదు,Hebrew,Old Testament
H0214,אוֹצָר,"a depository",,ఒక డిపాజిటరీ,Hebrew,Old Testament
H0215,אוֹר,"owr (ore) v.",,వెలుగు,Hebrew,Old Testament
H0216,אוֹר,"illumination",,జాతి,Hebrew,Old Testament
H0217,אוּר,"flame",,ఊరు,Hebrew,Old Testament
H0218,אוּר,"Uwr (oor) n/l.",,ఊరు,Hebrew,Old Testament
H0219,אוֹרָה,"luminousness",,తేజస్సు,Hebrew,Old Testament
H0220,אֲוֵרָה,"a stall",,ఒక పాక,Hebrew,Old Testament
H0221,אוּרִי,"Uwriy (oo-ree') n/p.",,ఊరీ,Hebrew,Old Testament
H0222,אוּרִיאֵל,"Uwriy'el (oo-ree-ale') n/p.",,ఊరీయేలు,Hebrew,Old Testament
H0223,אוּרִיָה אוּרִיָהוּ,"Uwriyah (oo-ree-yaw') (or (prolonged) Uwriyahuw oo-ree-yaw'-hoo) n/p.",,ఊరియా,Hebrew,Old Testament
H0224,אוּרִים,"lights",,వెలుగు,Hebrew,Old Testament
H0225,אוּת,"uwth (ooth) v.",,అర్థం తెలియదు,Hebrew,Old Testament
H0226,אוֹת,"a signal (literally or figuratively)",ఓత్,సూచన,Hebrew,Old Testament
H0227,אָז,"az (awz) adv.",ఆజ్,అప్పుడు,Hebrew,Old Testament
H0228,אֲזָא אֲזָה,"aza' (az-zaw') ((Aramaic) or iazah (Aramaic) az-aw') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H0229,אֶזבַּי,"Ezbay (ez-bah'ee) n/p.",,ఎజ్బాయి,Hebrew,Old Testament
H0230,אֲזָד,"azad (az-zawd') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H0231,אֵזוֹב,"hyssop",,హిస్సోపు,Hebrew,Old Testament
H0232,אֵזוֹר,"something girt",,నడికట్టు,Hebrew,Old Testament
H0233,אֲזַי,"azay (az-ah'ee) adv.",,అజే,Hebrew,Old Testament
H0234,אַזכָּרָה,"a reminder",,ఒక గుర్తుచేయువాడు,Hebrew,Old Testament
H0235,אָזַל,"azal (aw-zal') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H0236,אֲזַל,"azal (az-al') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H0237,אֶזֶל,"ezel (eh'-zel) n/l.",,ఏజెల్,Hebrew,Old Testament
H0238,אָזַן,"azan (aw-zan') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H0239,אָזַן,"azan (aw-zan') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H0240,אָזֵן,"a spade or paddle (as having a broad end)",,అంతం,Hebrew,Old Testament
H0241,אוֹזֶן,"broadness",ఓజెన్,చెవి,Hebrew,Old Testament
H0242,אוּזֵּן שֶׁאֱרָה,"Uzzen She'erah (ooz-zane' sheh-er-aw') n/l.",,అర్థం తెలియదు,Hebrew,Old Testament
H0243,אַזנוֹת תָּבוֹר,"Aznowth Tabowr (az-noth' taw-bore') n/l.",,అజ్నోతు తాబోరు,Hebrew,Old Testament
H0244,אָזנִי,"Ozniy (oz-nee') n/p.",,ఒజ్నీ,Hebrew,Old Testament
H0245,אֲזַניָה,"Azanyah (az-an-yaw') n/p.",,అజన్యా,Hebrew,Old Testament
H0246,אֲזִקִּים,"manacles",,మనిషి,Hebrew,Old Testament
H0247,אָזַר,"azar (aw-zar') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H0248,אֶזרוַֹע,"the arm",,భుజం,Hebrew,Old Testament
H0249,אֶזרָח,"a spontaneous growth",,అర్థం తెలియదు,Hebrew,Old Testament
H0250,אֶזרָחִי,"Ezrachiy (ez-raw-khee') adj.",,అర్థం తెలియదు,Hebrew,Old Testament
H0251,אָח,"a brother (used in the widest sense of literal relationship and metaphorical affinity or resemblance...",ఆచ్,సోదరుడు,Hebrew,Old Testament
H0252,אַח,"brother",,సోదరుడు,Hebrew,Old Testament
H0253,אָח,"ach (awkh) inj.",,సోదరుడు,Hebrew,Old Testament
H0254,אָח,"a fire-pot or chafing dish",,అగ్ని,Hebrew,Old Testament
H0255,אוַֹח,"a howler or lonesome wild animal",,ఒకటి,Hebrew,Old Testament
