Original Word,Transliteration,Root,Telugu Meaning,English Meaning,Part of Speech,Strong's
"עָפָר","aphar","עָפָר","మన్ను / ధూళి","dust","Noun","H6083"
"נִשְׁמַת","nishmat","נְשָׁמָה","శ్వాస / ఊపిరి","breath of","Noun","H5397"
"נֶפֶשׁ","nephesh","נָפַשׁ","జీవి / ప్రాణి","soul / living being","Noun","H5315"
"גַּన్","gan","גָּנַן","తోట","garden","Noun","H1588"
"עֵדֶן","eden","עֵדֶן","ఏదేను / ఆనందము","Eden / delight","Proper Noun","H5731"
"עֵץ","ets","עָצָה","చెట్టు","tree","Noun","H6086"
"הַדַּעַת","hadda'at","יָדַע","తెలివి / జ్ఞానము","the knowledge","Noun","H1847"
"נָהָר","nahar","נָהַר","నది","river","Noun","H5104"
"לְעָבְדָהּ","le'abdah","עָבַד","దానిని సేద్యపరచుటకు","to till it / work it","Verb","H5647"
"וּלְשָׁמְרָהּ","uleshomrah","שָׁמַר","దానిని కాపాడుటకు","and to keep it","Verb","H8104"
"וַיְצַו","vaytsav","צָוָה","ఆజ్ఞాపించెను","and he commanded","Verb","H6680"
"עֵזֶר","ezer","עָזַר","సహాయకారి","helper","Noun","H5828"
"תַּרְדֵּמָה","tardemah","רָדַם","గాఢనిద్ర","deep sleep","Noun","H8639"
"צֵלָע","tsela","צָלַע","ప్రక్కటెముక","rib / side","Noun","H6763"
"אִשָּׁה","ishshah","אִישׁ","స్త్రీ","woman","Noun","H802"
"נָחָשׁ","nachash","נָחָשׁ","సర్పము","serpent","Noun","H5175"
"עָרוּם","arum","עָרַם","యుక్తిగల","crafty, prudent, or subtle","Adjective","H6175"
"אִשָּׁה","ishah","אֱנֹשׁ","స్త్రీ","woman or wife","Noun","H802"
"עֵץ","ets","עָצָה","వృక్షము","tree or wood","Noun","H6086"
"פְּרִי","peri","פָּרָה","ఫలము","fruit","Noun","H6529"
"תַּאֲוָה","ta'avah","אָוָה","అభిలాష","desire or delight","Noun","H8372"
"חָמַד","chamad","חָמַד","కోరదగిన","to desire, covet or take pleasure in","Verb","H2530"
"עֵינַיִם","eynayim","עַיִן","కన్నులు","eyes","Noun","H5869"
"עֵירֹם","eyrom","עָרַם","దిగంబరి","naked","Adjective","H5903"
"קוֹל","qol","קוֹל","స్వరము","voice or sound","Noun","H6963"
"אָרַר","arar","אָרַר","శపించుట","to curse","Verb","H779"
"אֵיבָה","eybah","אָיַב","పగ","enmity or hatred","Noun","H341"
"זֶרַע","zera","זָרַע","సంతానము","seed or offspring","Noun","H2233"
"עִצָּבוֹן","itstsavon","עָצַב","ప్రయాస లేదా వేదన","pain, labor, or toil","Noun","H6093"
"אֲדָמָה","adamah","אָדָם","నేల","ground, soil, or earth","Noun","H127"
"חַוָּה","chavvah","חָיָה","హవ్వ","Eve (life-giver)","Proper Noun","H2332"
"כָּתְנוֹת","kotnot","כֻּתֹּנֶת","చొక్కాయిలు","tunics or coats","Noun","H3801"
"כְּרוּבִים","keruvim","כְּרוּב","కెరూబులు","cherubim","Noun","H3742"
"אָדָם","Adam","אָדָם","ఆదాము / నరుడు","Adam / Man","Proper Noun / Noun","H121"
"חַוָּה","Chavvah","חָיָה","హవ్వ","Eve / Life","Proper Noun","H2332"
"יָדַע","Yada","יָדַע","తెలుసుకొను / కూడుకొను","To know (intimately)","Verb","H3045"
"הָרָה","Harah","הָרָה","గర్భవతి అగు","To conceive / become pregnant","Verb","H2029"
"יָלַד","Yalad","יָלַד","కనుట / జన్మనిచ్చు","To bear / give birth","Verb","H3205"
"קַיִן","Qayin","קָנָה","కయీను","Cain / Possession","Proper Noun","H7014"
"הֶבֶל","Hevel","הָבַל","హేబెలు","Abel / Breath","Proper Noun","H1893"
"רֹעֶה","Roeh","רָעָה","గొర్రెల కాపరి","Shepherd / Keeper","Noun / Participle","H7462"
"עֹבֵד","Oved","עָבַד","సేద్యము చేయువాడు","Tiller / Worker","Noun / Participle","H5647"
"אֲדָמָה","Adamah","אָדָם","నేల / భూమి","Ground / Soil","Noun","H127"
"מִנְחָה","Minchah","מָנַח","అర్పణ / నైవేద్యము","Offering / Present","Noun","H4503"
"פְּרִי","Peri","פָּרָה","ఫలము","Fruit","Noun","H6529"
"בְּכֹרוֹת","Bekhorot","בָּכַר","తొలిచూలు","Firstlings / Firstborns","Noun","H1062"
"חֵלֶב","Chelev","חָלַב","క్రొవ్వు","Fat","Noun","H2459"
"שָׁעָה","Shaah","שָׁעָה","లక్ష్యముంచు / అంగీకరించు","To gaze / have regard","Verb","H8159"
"חָרָה","Charah","חָרָה","కోపము వచ్చు","To burn / be wroth","Verb","H2734"
"נָפַל","Naphal","נָפַל","పడు / వాల్చుకొను","To fall","Verb","H5307"
"חַטָּאת","Chattat","חָטָא","పాపము","Sin / Sin offering","Noun","H2403"
"פֶּתַח","Petach","פָּתַח","ద్వారము","Door / Opening","Noun","H6607"
"תְּשׁוּקָה","Teshukah","שׁוּק","వాంఛ / కోరిక","Desire / Longing","Noun","H8669"
"מָשַׁל","Mashal","מָשַׁל","ఏలుట","To rule / master","Verb","H4910"
"שָׂדֶה","Sadeh","שָׂדֶה","పొలము","Field","Noun","H7704"
"הָרַג","Harag","הָרַג","చంపుట","To kill / slay","Verb","H2026"
"דָּם","Dam","דָּם","రక్తము","Blood","Noun","H1818"
"צָעַק","Tsaaq","צָעַק","మొరపెట్టు / కేకవేయు","To cry out","Verb","H6817"
"אָרוּר","Arur","אָרַר","శపించబడిన","Cursed","Adjective / Participle","H779"
"כֹּחַ","Koach","כֹּחַ","బలము / సారము","Strength / Power / Yield","Noun","H3581"
"נָע","Na","נוּעַ","తిరుగులాడువాడు","Vagabond / Wanderer","Noun / Participle","H5128"
"נָד","Nad","נוּד","దిక్కులేక తిరుగువాడు","Fugitive","Noun / Participle","H5110"
"עָוֹן","Avon","עָוָה","శిక్ష / దోషము","Iniquity / Punishment","Noun","H5771"
"גָּרַשׁ","Garash","גָּרַשׁ","వెళ్ళగొట్టుట","To drive out / expel","Verb","H1644"
"סָתַר","Satar","סָתַר","దాగియుండుట","To hide / conceal","Verb","H5641"
"אוֹת","Oth","אוֹת","గుర్తు / సూచన","Sign / Mark","Noun","H226"
"עִיר","Ir","עִיר","పట్టణము","City","Noun","H5892"
"אֹהֶל","Ohel","אָהַל","గుడారము","Tent","Noun","H168"
"מִקְנֶה","Miqneh","קָנָה","పశువులు","Livestock / Cattle","Noun","H4735"
"נְחֹשֶׁת","Nechoshet","נְחֹשֶׁת","రాగి / ఇత్తడి","Bronze / Copper","Noun","H5175"
"בַּרְזֶל","Barzel","בַּרְזֶל","ఇనుము","Iron","Noun","H1270"
"שֵׁם","Shem","שֵׁם","పేరు","Name","Noun","H8034"
"חָלַל","Chalal","חָלַל","ప్రారంభించుట","To begin / profane","Verb","H2490"
"קָרָא","Qara","קָרָא","ప్రార్థించుట / పిలుచుట","To call / proclaim","Verb","H7121"
"סֵפֶר","Sefer","ספר","పుస్తకము","Book or Scroll","Noun","H5612"
"תּוֹלְדֹת","Toledot","ילד","వంశావళి","Generations or Account","Noun","H8435"
"דְּמוּת","Demut","דמה","పోలిక","Likeness or Similitude","Noun","H1823"
"זָכָר","Zakhar","זכר","పురుషుడు","Male","Noun/Adjective","H2145"
"נְקֵבָה","Neqevah","נקב","స్త్రీ","Female","Noun","H5347"
"בָּרַךְ","Barak","בברך","ఆశీర్వదించుట","To bless","Verb","H1288"
"קָרָא","Qara","קרא","పిలుచుట లేదా పేరు పెట్టుట","To call or name","Verb","H7121"
"חָיָה","Chayah","חיה","జీవించుట","To live","Verb","H2421"
"יָלַד","Yalad","ילד","కనుట","To beget or give birth to","Verb","H3205"
"שָׁנָה","Shanah","שנה","సంవత్సరం","Year","Noun","H8141"
"מָוֶת","Muth","מות","మరణించుట","To die","Verb","H4191"
"הָלַךְ","Halakh","הלך","నడుచుట","To walk","Verb","H1980"
"אֱלֹהִים","Elohim","אלה","దేవుడు","God","Noun","H430"
"לָקַח","Laqach","לקח","తీసుకొనుట","To take or receive","Verb","H3947"
"נָחַם","Nacham","נחם","ఓదార్చుట లేదా నెమ్మదినిచ్చుట","To comfort or console","Verb","H5162"
"אָדָם","'adam","'adam","నరుడు","man, mankind","Noun","H120"
"אֲדָמָה","'adamah","'adam","నేల","ground, earth","Noun","H127"
"בָּנוֹת","banot","bat","కుమార్తెలు","daughters","Noun","H1323"
"אֱלֹהִים","'elohim","'elohim","దేవుడు","God, gods","Noun","H430"
"רוּחַ","ruach","ruach","ఆత్మ","spirit, breath, wind","Noun","H7307"
"בָּשָׂר","basar","basar","శరీరం","flesh, body","Noun","H1320"
"נְפִלִים","nephilim","naphal","నెఫీలీయులు","Nephilim, giants","Noun","H5303"
"גִּבֹּרִים","gibborim","gabar","బలాఢ్యులు","mighty men, heroes","Noun","H1368"
"רָעָה","ra'ah","ra'a","చెడుతనం","evil, wickedness","Noun","H7451"
"מַחְשְׁבֹת","machshabot","chashab","తలంపులు","thoughts, intentions","Noun","H4284"
"לֵב","leb","labab","హృదయం","heart, mind","Noun","H3820"
"נָחַם","nacham","nacham","పశ్చాత్తాపపడెను","to repent, to be sorry","Verb","H5162"
"עָצַב","'atzab","'atzab","దుఃఖపడెను","to be grieved, to pain","Verb","H6087"
"מָחָה","machah","machah","తుడిచివేయుట","to wipe out, to destroy","Verb","H4229"
"חֵן","chen","chanan","కృప","grace, favor","Noun","H2580"
"צַדִּיק","tsaddiq","tsadaq","నీతిమంతుడు","righteous, just","Adjective","H6662"
"תָּמִים","tamim","tamam","నిందారహితుడు","blameless, perfect","Adjective","H8549"
"שָׁחַת","shachath","shachath","చెడిపోవుట","to corrupt, to destroy","Verb","H7843"
"חָమָס","chamas","chamas","బలాత్కారము","violence, cruelty","Noun","H2555"
"תֵּבָה","tebah","tebah","ఓడ","ark, box","Noun","H8392"
"בְּרִית","berit","barah","నిబంధన","covenant","Noun","H1285"
"מַבּוּל","mabbul","yabal","జలప్రళయము","flood, deluge","Noun","H3999"
"בּוֹא","bo","בּוֹא","ప్రవేశించు","to go in, enter","Verb","H935"
"תֵּבָה","tevah","תֵּבָה","ఓడ","ark, chest","Noun","H8392"
"צַדִּיק","tsaddiq","צָדַק","నీతిమంతుడు","righteous, just","Adjective","H6662"
"בְּהֵמָה","behemah","בְּהֵמָה","జంతువు","beast, animal, cattle","Noun","H929"
"טָהוֹר","tahor","טָהֵר","పవిత్రమైన","clean, pure","Adjective","H2889"
"זָכָר","zakhar","זָכַר","మగ","male","Noun/Adjective","H2145"
"נְקֵבָה","neqevah","נָקַב","ఆడు","female","Noun/Adjective","H5347"
"עוֹף","oph","עוּף","పక్షి","flying creatures, birds, fowl","Noun","H5775"
"מָטָר","matar","מָטַר","వర్షం","rain","Noun","H4306"
"מַבּוּל","mabbul","יָבַל","జలప్రళయం","flood, deluge","Noun","H3999"
"מַיִם","mayim","מַיִם","నీళ్లు","waters","Noun","H4325"
"מַעְיָן","mayan","עַיִן","ఊట","spring, fountain","Noun","H4599"
"תְּהוֹם","tehom","הוּם","అగాధము","deep, primeval ocean, abyss","Noun","H8415"
"אֲרֻבָּה","arubbah","אָרַב","కిటికీ","lattice, window, floodgate","Noun","H697"
"גָּבַר","gavar","גָּבַר","ప్రబలము","to prevail, be strong","Verb","H1396"
"גָּוַע","gava","גָּוַע","చనిపోవు","to expire, die, perish","Verb","H1478"
"מָחָה","machah","מָחָה","తుడిచివేయు","to wipe out, blot out, destroy","Verb","H4229"
"הָר","har","הָרַר","పర్వతం","mountain, hill country","Noun","H2022"
"זָכַר","zakar","זכר","జ్ఞాపకము చేసికొను","To remember","Verb","H2142"
"רוּחַ","ruach","רוח","గాలి / ఆత్మ","Wind / Spirit","Noun","H7307"
"שָׁכַךְ","shakak","שכך","తగ్గిపోవుట / నిమ్మళించుట","To subside / abate","Verb","H7918"
"מַעְיָן","ma'yan","עין","ఊట / బుగ్గ","Fountain / Spring","Noun","H4599"
"תְּהוֹם","tehom","הום","అగాధ జలము","Deep / Abyss","Noun","H8415"
"גֶּשֶׁם","geshem","גשם","వర్షము","Rain / Shower","Noun","H1653"
"חָסֵר","chaser","חסר","తగ్గిపోవుట","To decrease / diminish","Verb","H2637"
"תֵּבָה","tebah","תבה","ఓడ","Ark","Noun","H8392"
"חַלּוֹן","challon","חלל","కిటికీ","Window","Noun","H2474"
"עֹרֵב","orev","ערב","కాకి","Raven","Noun","H6158"
"יוֹנָה","yonah","יונה","పావురము","Dove","Noun","H3123"
"מָנוֹחַ","manonach","נוח","విశ్రాంతి స్థలము","Resting place","Noun","H4489"
"עָלֶה","aleh","עלה","ఆకు","Leaf / Foliage","Noun","H5929"
"זַיִת","zayit","זית","ఒలీవ","Olive","Noun","H2132"
"חָרַב","charav","חרב","ఆరిపోవుట / ఎండిపోవుట","To dry up","Verb","H2717"
"מִזְבֵּחַ","mizbeach","זבח","బలిపీఠము","Altar","Noun","H4196"
"עֹלָה","olah","עלה","దహనబలి","Burnt offering","Noun","H5930"
"רֵיחַ","reyach","רוח","సువాసన","Aroma / Scent","Noun","H7381"
"זֶרַע","zera","זרע","విత్తనము","Seed / Sowing","Noun","H2233"
"קָצִיר","qatsir","קצר","కోత / పంట కోత","Harvest","Noun","H7105"
"בָּרַךְ","barak","ברך","దీవించు","To bless","Verb","H1288"
"בְּרִית","berit","ברת","నిబంధన","Covenant","Noun","H1285"
"קֶשֶׁת","qeshet","קוש","విల్లు (ఇంద్రధనస్సు)","Bow or Rainbow","Noun","H7198"
"דָּם","dam","דם","రక్తము","Blood","Noun","H1818"
"נֶפֶשׁ","nephesh","נפש","ప్రాణము","Soul or Life","Noun","H5315"
"מַבּוּל","mabbul","יבל","జలప్రళయము","Flood or Deluge","Noun","H3999"
"אוֹת","ot","אות","సూచన","Sign","Noun","H226"
"עָנָן","anan","ענן","మేఘము","Cloud","Noun","H6051"
"בָּשָׂר","basar","בשר","శరీరము లేదా మాంసము","Flesh","Noun","H1320"
"פָּרָה","parah","פרה","ఫలించు","To be fruitful","Verb","H6509"
"רָבָה","rabah","רבה","విస్తరించు","To multiply","Verb","H7235"
"אֶרֶץ","eretz","ארץ","భూమి","Earth or Land","Noun","H776"
"יַיִן","yayin","יין","ద్రాక్షారసము","Wine","Noun","H3196"
"כֶּרֶם","kerem","כרם","ద్రాక్షతోట","Vineyard","Noun","H3754"
"אָרוּר","arur","ארר","శపించబడిన","Cursed","Adjective","H779"
"תּוֹלְדֹת","toledot","יָלַד","వంశావళి","generations or account of descendants","Noun Feminine Plural","H8435"
"בֵּן","ben","בָּנָה","కుమారుడు","son","Noun Masculine Singular","H1121"
"יָלַד","yalad","יָלַד","కనుట","to bear, bring forth, or beget","Verb","H3205"
"גִּבּוֹר","gibbor","גָּבַר","బలాఢ్యుడు","mighty man, hero, or warrior","Adjective / Noun Masculine","H1368"
"צַיִד","tsayid","צוּד","వేట","hunting or hunter","Noun Masculine Singular","H6718"
"מַמְלָכָה","mamlakah","מָלַךְ","రాజ్యము","kingdom, dominion, or sovereignty","Noun Feminine Singular","H4467"
"אֶרֶץ","erets","אֶרֶץ","భూమి లేదా దేశము","land, earth, or country","Noun Feminine Singular","H776"
"גּוֹי","goy","גּוֹי","జనము","nation, people, or Gentile","Noun Masculine Singular","H1471"
"מִשְׁפָּחָה","mishpachah","שָׁפַח","కుటుంబము","family, clan, or tribe","Noun Feminine Singular","H4940"
"לָשׁוֹן","lashon","לָשַׁן","భాష","tongue or language","Noun Masculine/Feminine Singular","H3956"
"פָּרַד","parad","פָּרַד","విడిపోవుట","to separate, divide, or depart","Verb","H6504"
"גְּבוּל","gevul","גָּבַל","సరిహద్దు","border, boundary, or territory","Noun Masculine Singular","H1366"
"עִיר","ir","עוּר","పట్టణము","city or town","Noun Feminine Singular","H5892"
"בָּנָה","banah","בָּנָה","కట్టుట","to build or establish","Verb","H1129"
"רֵאשִׁית","reshit","רֹאשׁ","ప్రారంభము","beginning or chief part","Noun Feminine Singular","H7225"
"שָׂפָה","saphah","שָׂפָה","భాష / పెదవి","language / lip","Noun","H8193"
"אֶחָד","echad","אָחַד","ఒకటి","one / single","Adjective","H259"
"דְּבָרִים","devarim","דָּבָר","మాటలు","words / matters","Noun","H1697"
"נָסַע","nasa","נָסַע","ప్రయాణించు","to journey / pull up stakes","Verb","H5265"
"בִּקְעָה","biq'ah","בָּקַע","మైదానము / లోయ","plain / valley","Noun","H1237"
"לְבֵנָה","levenah","לָבַן","ఇటుక","brick","Noun","H3843"
"שָׂרַף","saraph","שָׂרַף","కాల్చు","to burn","Verb","H8313"
"חֹמֶר","chomer","חָמַר","జిగురు మన్ను / కీలు","bitumen / mortar","Noun","H2564"
"עִיר","ir","עִיר","పట్టణము","city","Noun","H5892"
"מִגְדָּל","migdal","גָּדַל","గోపురము","tower","Noun","H4026"
"שָׁמַيִם","shamayim","שָׁמַיִם","ఆకాశము","heavens / sky","Noun","H8064"
"שֵׁם","shem","שֵׁם","పేరు / కీర్తి","name / reputation","Noun","H8034"
"פּוּץ","puts","פּוּץ","చెల్లాచెదురు చేయు","to scatter / disperse","Verb","H6327"
"יָרַד","yarad","יָרַד","దిగివచ్చు","to descend / go down","Verb","H3381"
"בָּנָה","banah","בָּנָה","కట్టుట / నిర్మించుట","to build / construct","Verb","H1129"
"בָּלַל","balal","בָּלַל","తారుమారు చేయు / కలగాపులగము చేయు","to confuse / confound / mix","Verb","H1101"
"תּוֹלְדֹת","toledot","יָלַד","వంశావళి","generations / account","Noun","H8435"
"יָלַד","yalad","יָלַד","కనుట / జన్మనిచ్చు","to beget / give birth","Verb","H3205"
"מוֹלֶדֶת","moledet","יָלַד","జన్మభూమి / బంధువులు","birthplace / kindred","Noun","H4138"
"עֲקָרָה","aqarah","עָקַר","గొడ్రాలు","barren / childless","Adjective","H6135"
"אָמַר","amar","אָמַר","చెప్పుట / అనుట","to say, speak, utter","Verb","H559"
"הָלַךְ","halak","הָלַךְ","వెళ్ళుట / నడుచుట","to go, walk, proceed","Verb","H1980"
"אֶרֶץ","erets","אֶרֶץ","దేశము / భూమి","land, earth, country","Noun","H776"
"מֹולֶדֶת","moledeth","יָלַד","జన్మస్థలము / బంధువర్గము","kindred, birth, relatives","Noun","H4138"
"בַּיִת","bayit","בַּיִת","ఇల్లు / కుటుంబము","house, household, family","Noun","H1004"
"גֹּוי","goy","גֹּוי","జాతి / జనము","nation, people","Noun","H1471"
"גָּדֹול","gadol","גָּדַל","గొప్ప / విశాలమైన","great, large, important","Adjective","H1419"
"בָּרַךְ","barak","בָּרַךְ","దీవించుట / ఆశీర్వదించుట","to bless, kneel","Verb","H1288"
"שֵׁם","shem","שֵׁם","పేరు / ఖ్యాతి","name, reputation, fame","Noun","H8034"
"בְּרָכָה","berakah","בָּרַךְ","దీవెన / ఆశీర్వాదము","blessing, benediction","Noun","H1293"
"מִשְׁפָּחָה","mishpachah","שָׁפַח","కుటుంబము / వంశము","family, clan, tribe","Noun","H4940"
"אֲדָמָה","adamah","אָדַם","నేల / భూమి","ground, land, soil","Noun","H127"
"רְכוּשׁ","rekush","רָכַשׁ","ఆస్తి / సంపాదన","property, goods, possessions","Noun","H7399"
"נֶפֶשׁ","nephesh","נָפַשׁ","ప్రాణము / ఆత్మ / వ్యక్తి","soul, life, person, living being","Noun","H5315"
"רָאָה","ra'ah","רָאָה","చూచుట / ప్రత్యక్షమగుట","to see, appear, look","Verb","H7200"
"מִזְבֵּחַ","mizbeach","זָבַח","బలిపీఠము","altar","Noun","H4196"
"רָעָב","ra'ab","רָעֵב","కరువు","famine, hunger","Noun","H7458"
"גּוּר","gur","גּוּר","పరదేశిగా నివసించుట","to sojourn, dwell as a stranger","Verb","H1481"
"כָּבֵד","kabed","כָּבַד","భారమైన / కఠినమైన","heavy, severe, grievous","Adjective","H3515"
"יָפֶה","yapheh","יָפָה","అందమైన","beautiful, fair, handsome","Adjective","H3303"
"עָלָה","alah","עָלָה","పైకి వెళ్ళుట","to go up, ascend","Verb","H5927"
"כָּבֵד","kaved","כָּבֵד","చాలా ఐశ్వర్యవంతుడు","heavy, very rich","Adjective","H3515"
"מִקְנֶה","miqneh","קָנָה","పశువులు","livestock, cattle","Noun","H4735"
"כֶּסֶף","kesef","כָּסַף","వెండి","silver, money","Noun","H3701"
"זָהָב","zahav","זָהָב","బంగారం","gold","Noun","H2091"
"מִזְבֵּחַ","mizbeach","זָבַח","బలిపీఠము","altar","Noun","H4196"
"רִיב","riv","רִיב","కలహము","strife, dispute","Noun","H7379"
"רֹעֶה","ro'eh","רָעָה","కాపరి","shepherd","Noun","H7462"
"פָּרַד","parad","פָּרַד","విడిపోవుట","to separate, divide","Verb","H6504"
"כִּכָּר","kikkar","כָּכַר","మైదానము","plain, circle of district","Noun","H3603"
"אֶרֶץ","eretz","אֶרֶץ","దేశము, భూమి","land, earth","Noun","H776"
"זֶרַע","zera","זָרַע","సంతానము","seed, offspring","Noun","H2233"
"עָפָר","afar","עָפָר","ధూళి","dust","Noun","H6083"
"נָשָׂא","nasa","נָשָׂא","కన్నులెత్తుట లేదా మోయుట","to lift up, carry","Verb","H5375"
"חֶבְరోֹן","chevron","חָבַר","హెబ్రోను","Hebron","Proper Noun","H2275"
"מֶלֶךְ","melek","מָלַךְ","రాజు","King","Noun","H4428"
"מִלְחָמָה","milchamah","לָחַם","యుద్ధం","War / Battle","Noun","H4421"
"עָבַד","abad","עָבַד","సేవించు","To serve / To work","Verb","H5647"
"מָרַד","marad","מָרַד","తిరుగుబాటు చేయు","To rebel","Verb","H4775"
"עֵמֶק","emeq","עָמַק","లోయ","Valley","Noun","H6010"
"פָּלִיט","palit","פָּלַט","తప్పించుకున్నవాడు","Fugitive / Escapee","Noun","H6412"
"עִבְרִי","ibri","עָבַר","హెబ్రీయుడు","Hebrew","Adjective / Noun","H5680"
"בְּרִית","berit","בָּרָה","నిబంధన","Covenant / Alliance","Noun","H1285"
"שָׁבָה","shabah","שָׁבָה","చెరపట్టు","To take captive","Verb","H7617"
"חָנִיךְ","chanik","חָנַךְ","శిక్షణ పొందిన దాసుడు","Trained servant","Noun","H2593"
"בָּרַךְ","barak","בָּרַךְ","ఆశీర్వదించు","To bless","Verb","H1288"
"כֹּהֵן","kohen","כָּהַן","యాజకుడు","Priest","Noun","H3548"
"עֶלְיוֹן","elyon","עָלָה","మహోన్నతుడు","Most High","Adjective","H5945"
"מַעֲשֵׂר","maaser","עָשַׂר","పదియవ భాగం","Tithe / Tenth part","Noun","H4643"
"קָנָה","qanah","קָנָה","సృజించినవాడు / సంపాదించు","Possessor / Creator / Buyer","Verb","H7069"
"דָּבָר","davar","דָּבַר","మాట/సంగతి","word, matter, thing","Noun","H1697"
"מַחֲזֶה","machazeh","חָזָה","దర్శనము","vision","Noun","H4236"
"מָגֵן","magen","גָּנַן","కేడెము/డాలు","shield","Noun","H4043"
"שָׂכָר","sakar","שָׂכַר","బహుమానము/ఫలము","reward, wages","Noun","H7939"
"אָמַן","aman","אָמַן","నమ్ముట/విశ్వసించుట","to believe, trust","Verb","H539"
"צְדָקָה","tzedakah","צָדַק","నీతి","righteousness","Noun","H6666"
"זֶרַע","zera","זָרַע","సంతానము/విత్తనము","seed, offspring","Noun","H2233"
"יָרַשׁ","yarash","יָרַשׁ","స్వాస్థ్యముగా పొందుట","to inherit, possess","Verb","H3423"
"בְּרִית","berit","בָּרָה","నిబంధన","covenant","Noun","H1285"
"תַּרְדֵּמָה","tardemah","רָדַם","గాఢనిద్ర","deep sleep","Noun","H8639"
"גֵּר","ger","גּוּר","పరదేశి","sojourner, stranger","Noun","H1616"
"עָבַד","abad","עָבַד","సేవించుట/దాస్యము చేయుట","to serve, work","Verb","H5647"
"עִנָּה","anah","עָנָה","బాధించుట/శ్రమపెట్టుట","to afflict, oppress","Verb","H6031"
"כָּרַת","karat","כָּרַת","చేయుట (నిబంధనను ఖండించుట)","to cut, make (a covenant)","Verb","H3772"
"כּוֹכָב","kokhav","כָּכַב","నక్షత్రము","star","Noun","H3556"
"חֲשֵׁכָה","chashekha","חָשַׁךְ","చీకటి/అంధకారము","darkness","Noun","H2825"
"לַפִּיד","lappid","לַפִּיד","మంట/దీపము","torch, flaming torch","Noun","H3940"
"נָהָר","nahar","נָהַר","నది","river","Noun","H5104"
"עֲרִירִי","ariri","עָרַר","నిస్సంతుగా/పిల్లలు లేని","childless","Adjective","H6185"
"הַבֶּט","habet","נָבַט","చూడుము/తేరిచూడుము","look, gaze","Verb","H5027"
"שָׂרַי","Saray","שָׂרַי","సారయి","Sarai","Proper Noun","H8297"
"שִׁפְחָה","shiphchah","שִׁפְחָה","దాసి","maidservant","Noun","H8198"
"מִצְרִית","mitsriyth","מִצְרַיִם","ఐగుప్తు దేశస్థురాలు","Egyptian (woman)","Adjective","H2705"
"הָגָר","Hagar","הָגָר","హాగరు","Hagar","Proper Noun","H1904"
