strongs,word,occurrences,english_meaning,telugu_meaning
H859,אַתּתָּה אַתּתָּ אַת אַתּתִּי אַתּתֶּם אַתּתֶּן אַתּתֵּנָה אַתּתֵּנָּה,1103,or (plural) ye and you,
H3427,יָשַׁב,1098,"(by implication) to dwell, to remain; (causatively) to settle, to marry",
H5892,עִיר עָר עָיַר,1095,"city, court (from margin), town.",
H3318,יָצָא,1077,"literally and figuratively, direct and proxim}",బయటకు వెళ్ళడానికి; (కారణంగా) బయటకు తీసుకురావడానికి
H1732,דָּוִד דָּוִידּ,1075,the youngest son of Jesse,
H7725,שׁוּב,1072,(generally) to retreat; (often adverbially) again,
H518,אִם,1070,"if, although",
H5973,עִם,1049,"specifically, equally with; often with prepositional prefix (and then usually unrepresented in English)",
H3212,יָלַך,1046,"away, bear, bring, carry (away), come (away), depart, flow, + follow(-ing), get (away, hence, him), (cause to, made) go (away, -ing, -ne, one's way, out), grow, lead (forth), let down, march, prosper, + pursue, cause to run, spread, take away ((-journey)), vanish, (cause to) walk(-ing), wax, X be weak.",(వాచ్యంగా లేదా అలంకారికంగా) నడవడానికి; (కారణంగా) మోయడానికి (వివిధ భావాలలో)
H259,אֶחָד,976,(as an ordinal) first,"(సరిగ్గా) ఐక్యంగా, అంటే ఒకటి; (ఆర్డినల్‌గా) మొదట"
H3947,לָקַח,967,"bring, buy, carry away, drawn, fetch, get, infold, X many, mingle, place, receive(-ing), reserve, seize, send for, take (away, -ing, up), use, win.",తీసుకోవడానికి (వివిధ రకాల అప్లికేషన్లలో)
H3045,יָדַע,951,"literally, euphemistically and inferentially (including observation, care, recognition",తెలుసుకోవడానికి; (సరిగ్గా) చూడటం ద్వారా నిర్ధారించడానికి
H5869,עַיִן,899,a fountain (as the eye of the landscape),"ఒక కన్ను (అక్షరాలా లేదా అలంకారికంగా); సారూప్యత ద్వారా, ఒక ఫౌంటెన్ (ల్యాండ్‌స్కేప్ యొక్క కన్ను వలె)"
H5927,עָלָה,894,"used in a great variety of senses, primary and secondary, literal and figurative (as follow)",
H8141,שָׁנֶה שָׁנָה,879,"X long, + old, year(X -ly).",ఒక సంవత్సరం (సమయం యొక్క విప్లవం వలె)
H589,אֲנִי,874,"(as for) me, mine, myself, we, X which, X who.",
H8034,שֵׁם,864,"(by implication) honor, authority, character",
H7971,שָׁלַח,847,"for, or out (in a great variety of applications)",
H2009,הִנֵּה,843,"lo, see.",
H4191,מוּת,841,"X crying, (be) dead (body, man, one), (put to, worthy of) death, destroy(-er), (cause to, be like to, must) die, kill, necro(-mancer), X must needs, slay, X surely, X very suddenly, X in (no) wise.",
H8033,שָׁם,834,or thence,
H1992,הֵם הֵמָּה,826,"like, X (how, so) many (soever, more as) they (be), (the) same, X so, X such, their, them, these, they, those, which, who, whom, withal, ye.",
H3063,יְהוּדָה,818,"also of the tribe descended from the first, and of its territory",
H397,אָכִישׁ,813,a Philistine king,
H854,אֵת,808,"generally) with, by, at, among, etc",
H5650,עֶבֶד,803,"bondman, (bond-)servant, (man-)servant.",
H369,אַיִן,791,"except, fail, (father-)less, be gone, in(-curable), neither, never, no (where), none, nor, (any, thing), not, nothing, to nought, past, un(-searchable), well-nigh, without.",
H802,אִשָּׁה נָשִׁים,781,a woman (used in the same wide sense as H0582),"క్రమరహిత బహువచనం, nashiym; ఒక స్త్రీ (H0582 వలె విస్తృత అర్థంలో ఉపయోగించబడుతుంది)"
H8147,שְׁנַיִם שְׁתּתַּיִם,770,"couple, double, second, twain, + twelfth, + twelve, + twenty (sixscore) thousand, twice, two.",రెండు; (ఆర్డినల్ గా) రెండు రెట్లు
H1571,גַּם,769,often repeated as correl. both...and,
H4872,מוֹשֶׁה,766,"Mosheh, the Israelite lawgiver",
H5315,נֶפֶשׁ,757,"used very widely in a literal, accommodated or figurative sense (bodily or mental)",ప్రాణము - ఆత్మ
H3548,כּוֹהֵן,750,"(also, by courtesy) an acting priest (although a layman)","(అక్షరాలా) ఒక అధికారి, ఒక పూజారి; (అలాగే, మర్యాదతో) ఒక నటన పూజారి (ఒక సామాన్యుడు అయినప్పటికీ)"
H4100,מָה מַה מָ מַ מֶה,750,"(also, exclamation) what! (including how!); (indefinitely) what (including whatever, and even relatively, that which)",
H428,אֵלֶּה,746,"so, some, such, them, these (same), they, this, those, thus, which, who(-m).",
H7121,קָרָא,736,"address by name, but used in a wide variety of applications)","కాల్ చేయడానికి (అంటే సరిగ్గా, పేరు ద్వారా చిరునామా, కానీ అనేక రకాల అప్లికేషన్లలో ఉపయోగించబడుతుంది)"
H407,אַכשָׁף,727,a place in Israel,
H310,אַחַר,718,as adverb or conjunction) after (in various senses),
H1870,דֶּרֶך,712,often adverb,
H7451,רַע רָעָה,670,"affliction, bad, calamity, + displease(-ure), distress, evil((- favouredness), man, thing), + exceedingly, X great, grief(-vous), harm, heavy, hurt(-ful), ill (favoured), + mark, mischief(-vous), misery, naught(-ty), noisome, + not please, sad(-ly), sore, sorrow, trouble, vex, wicked(-ly, -ness, one), worse(-st), wretchedness, wrong. (Incl. feminine raaah; as adjective or noun.).",
H5375,נָשָׂא נָסָה,658,"in a great variety of applications, literal and figurative, absol. and rel. (as follows)",
H3389,יְרוּשָׁלִַם יְרוּשָׁלַיִם,643,the capital city of Israel,
H251,אָח,630,"brother(-ly); kindred, like, other.",ఒక సోదరుడు (అక్షర సంబంధం మరియు రూపక అనుబంధం లేదా సారూప్యత (H0001 వంటివి) యొక్క విస్తృత అర్థంలో ఉపయోగించబడుతుంది)
H6965,קוּם,626,"literal, figurative, intensive and causative)",
H3069,יְהוֹוִה,615,"and pronounced by Jews as H430, in order to prevent the repetition of the same sound, since they elsewhere pronounce H3068 as H136)]",దేవుడు
H4714,מִצרַיִם,614,i.e. Upper and Lower Egypt,
H3651,כֵּן,612,time and relation,
H2063,זוֹאתּ,605,"-with), it, likewise, the one (other, same), she, so (much), such (deed), that, therefore, these, this (thing), thus.",
H7218,רוֹאשׁ,600,"whether literal or figurative (in many applications, of place, time, rank, itc.)","తల (అత్యంత తేలికగా కదిలినట్లు), అక్షరార్థం లేదా అలంకారికమైనది (అనేక అనువర్తనాల్లో, స్థలం, సమయం, ర్యాంక్, మొదలైనవి)"
H3820,לֵב,595,likewise for the centre of anything,"గుండె; భావాలు, సంకల్పం మరియు తెలివికి కూడా చాలా విస్తృతంగా (అలంకారికంగా) ఉపయోగించబడింది"
H1323,בַּת,588,literally and figuratively),"ఒక కుమార్తె (సంబంధం యొక్క ఇతర పదాల మాదిరిగానే విస్తృత అర్థంలో ఉపయోగించబడుతుంది, అక్షరాలా మరియు అలంకారికంగా)"
H7760,שׂוּם שִׂים,585,"literal, figurative, inferentially, and elliptically)",
H3967,מֵאָה מֵאיָה,583,"-th), + sixscore.",
H4325,מַיִם,582,semen,నీళ్ళు
H3541,כּוֹה,577,"(also, of place) here (or hither)",
H582,אֱנוֹשׁ,566,"X (blood-)thirsty, certain, chap(-man); divers, fellow, X in the flower of their age, husband, (certain, mortal) man, people, person, servant, some ( X of them), + stranger, those, + their trade. It is often unexpressed in the English versions, especially when used in apposition with another word .",
H1471,גּוֹי גּוֹי,564,or a flight of locusts,
H5674,עָבַר,562,(specifically) to cover (in the act of copulation),
H2896,טּוֹב,561,"the good, goods or good things, good men or women), also as an adverb (well)",
H120,אָדָם,552,"mankind, etc.)",మానవుడు - మనుష్యుడు
H2022,הַר,547,"mount(-ain), X promotion.",పర్వతం లేదా కొండల శ్రేణి (కొన్నిసార్లు అలంకారికంగా ఉపయోగిస్తారు)
H1419,גָּדוֹל גָּדוֹל,529,"elder(-est), + exceeding(-ly), + far, (man of) great (man, matter, thing,-er,-ness), high, long, loud, mighty, more, much, noble, proud thing, X sore, (X ) very.",
H5975,עָמַד,529,"in various relations (literal and figurative, intransitive and transitive)","నిలబడటానికి, వివిధ సంబంధాలలో (అక్షర మరియు అలంకారిక, ఇంట్రాన్సిటివ్ మరియు ట్రాన్సిటివ్)"
H8478,תַּחַת,511,"below (often with prepositional prefix underneath), in lieu of, etc",
H505,אֶלֶף,508,this was eventually used as a numeral},
H2416,חַי,508,"water, year), strong",సజీవంగా; (అందుకే) పచ్చి (మాంసం)
H6963,קוֹל,507,"bleating, crackling, cry (+ out), fame, lightness, lowing, noise, + hold peace, (pro-)claim, proclamation, + sing, sound, + spark, thunder(-ing), voice, + yell.",
H5221,נָכָה,501,literally or figuratively),
H3205,יָלַד,499,"beget, birth((-day)), born, (make to) bring forth (children, young), bring up, calve, child, come, be delivered (of a child), time of delivery, gender, hatch, labour, (do the office of a) midwife, declare pedigrees, be the son of, (woman in, woman that) travail(-eth, -ing woman).",
H6310,פֶּה,498,"specifically edge, portion or side; adverbially (with preposition) according to","నోరు (బ్లోయింగ్ సాధనంగా), సాహిత్యపరమైన లేదా అలంకారిక (ముఖ్యంగా ప్రసంగం); ప్రత్యేకంగా అంచు, భాగం లేదా వైపు"
H6680,צָּוָה,496,enjoin,
H5750,עוֹד עוֹד,491,"again, repeatedly, still, more",
H6635,צָּבָא צֶּבָאָה,487,literally or figuratively) a campaign,వ్యక్తుల సమూహం; (అలంకారికంగా) వస్తువుల ద్రవ్యరాశి
H8104,שָׁמַר,469,"(generally) to protect, attend to, etc",
H6944,קוֹדֶשׁ,465,rarely) sanctity,
H7227,רַב,462,"size, age, number, rank, quality)",
H4672,מָצָא,457,"transitively, to attain, i.e. find or acquire; (figuratively) to occur, meet or be present",
H136,אֲדוֹנָי,438,the Lord (used as a proper name of God only),ప్రభువు (దేవుని పేరు)
H5769,עוֹלָם עוֹלָם,438,(generally) time out of mind (past or future); (practically) eternity,నిత్యము - శాశ్వతము
H5307,נָפַל,435,"in a great variety of applications (intransitive or causative, literal or figurative)",
H6258,עַתּתָּה,434,"whether adverb, conjunction or expletive",
H7969,שָׁלוֹשׁ שָׁלוֹשׁ שְׁלוֹשָׁה שְׁלוֹשָׁה,431,or (multipl.) thrice,"మూడు; అప్పుడప్పుడు (ఆర్డినల్) మూడవ, లేదా (మల్టిపుల్.) మూడుసార్లు"
H4310,מִי,424,(indefinitely) whoever,
H4941,מִשׁפָּט,424,"abstractly, justice, including a participant's right or privilege (statutory or customary), or even a style","(సరిగ్గా) న్యాయపరంగా ఉచ్ఛరించే తీర్పు (అనుకూలమైనది లేదా అననుకూలమైనది), ప్రత్యేకించి ఒక వాక్యం లేదా అధికారిక డిక్రీ (మానవ లేదా (పాల్గొనేవారి) దైవిక చట్టం, వ్యక్తి లేదా సామూహిక), చట్టం, స్థలం, దావా, నేరం మరియు పెనాల్టీతో సహా; వియుక్తంగా, న్యాయం, పాల్గొనేవారి హక్కు లేదా ప్రత్యేక హక్కు (చట్టబద్ధమైన లేదా ఆచారం) లేదా ఒక శైలితో సహా"
H8064,שָׁמַיִם שָׁמֶה,421,as well as to the higher ether where the celestial bodies revolve),ఆకాశము
H8269,שַׂר,421,"chief (captain), general, governor, keeper, lord, ((-task- ))master, prince(-ipal), ruler, steward.",
H8432,תָּוֶך,420,"X between, half, X (there- ,where-), in(-to), middle, mid(-night), midst (among), X out (of), X through, X with(-in).",
H2719,חֶרֶב,412,"as a knife, sword, or other sharp implement",
H996,בֵּין,410,(also as a conjunction) either...or,
H7586,שָׁאוּל,406,the name of an Edomite and two Israelites,
H4994,נָא,405,"or to interjections, occasionally to an adverb or conjunction",
H3701,כֶּסֶף,403,"price, silver(-ling).",
H4196,מִזבֵַּח,403,an altar,ఒక బలిపీఠం
H4725,מָקוֹם מָקוֹם מְקוֹמָה מְקוֹמָה,401,but used widely of a locality (general or specific); (figuratively) of a condition (of body or mind),"(సరిగ్గా) నిలబడి, అనగా ఒక ప్రదేశం; కానీ ఒక ప్రాంతంలో విస్తృతంగా ఉపయోగించబడుతుంది (సాధారణ లేదా నిర్దిష్ట)"
H3220,יָם,395,"sometimes a large river, or an artifical basin","సముద్రం (ధ్వనించే సర్ఫ్‌లో బద్దలు కొట్టినట్లు) లేదా పెద్ద నీటి భాగం; ప్రత్యేకంగా (వ్యాసంతో), మధ్యధరా సముద్రం"
H7651,שֶׁבַע שִׁבעָה,395,adverbially) seven times,ఒక ఆదిమ కార్డినల్ సంఖ్య; ఏడు (పవిత్రమైన పూర్తి ఒకటిగా)
H2091,זָהָב,389,"something gold-colored (i.e. yellow) such as oil or a clear, sunny sky",
H3381,יָרַד,380,"as the shore, a boundary, the enemy, etc",
H784,אֵשׁ,378,"fiery, fire, flaming, hot.",అగ్ని (అక్షరాలా లేదా అలంకారికంగా)
H7307,רוַּח,378,"(figuratively) life, anger, unsubstantiality",ఆత్మ - గాలి
H1129,בָּנָה,377,"obtain children, make, repair, set (up), X surely.",
H5002,נְאוּם,376,saith.,
H8179,שַׁעַר,375,i.e. door or gate,
H5046,נָגַד,371,"(by implication) (causatively), to manifest; (figuratively) to announce (always by word of mouth to one present)",
H1818,דָּם,361,figuratively (especially in the plural) bloodshed (i.e. drops of blood),
H595,אָנוֹכִי,359,"me, X which.",
H4427,מָלַך,351,by implication) to take counsel,
H168,אוֹהֶל,349,"(dwelling)(place), home, tabernacle, tent.",
H3290,יַעֲקוֹב,349,the Israelitish patriarch,
H175,אַהֲרוֹן,347,the brother of Moses,
H1768,דִּי,346,"diy (dee) conj. 1. (relative conjunction) that 2. (especially, with a preposition) used in adverbial phrases 3. (also) as preposition of [(Aramaic) apparently for H1668] KJV: X as, but, for(-asmuch +), + now, of, seeing, than, that, therefore, until, + what (-soever), when, which, whom, whose.  Root(s): H1668",
H2568,חָמֵשׁ חֲמִשָּׁה,345,"fifth, five (X apiece).",ఐదు
H6240,עָשָׂר,338,(ordinal) -teenth,
H5439,סָבִיבּ סֶבִיבָּה,337,"but chiefly (as adverb, with or without preposition) around",
H113,אָדוֹן אָדוֹן,336,i.e. controller (human or divine),ప్రభువు - యజమాని
H7704,שָׂדֶה שָׂדַי,334,"field, ground, land, soil, X wild.",
H6030,עָנָה,331,(by implication) to respond,
H6086,עֵץ,331,"gallows, helve, + pine, plank, staff, stalk, stick, stock, timber, tree, wood.",ఒక చెట్టు (దాని దృఢత్వం నుండి); (అందుకే) చెక్క (బహువచన కర్రలు)
H1288,בָּרַך,330,"(implication, God toward man) to bless man as a benefit",
H3372,יָרֵא,328,caus. to frighten,"భయపడుటకు; నైతికంగా, గౌరవించటానికి"
H3627,כְּלִי,325,"i.e. any apparatus (as an implement, utensil, dress, vessel or weapon)",
H176,אוֹ אַו,321,also if,
H702,אַרבַּע אַרבָּעָה,320,four,నాలుగు
H2005,הֵן,320,"if, lo, though.",
H4421,מִלחָמָה,319,"fight(-ing), war((-rior)).",
H5030,נָבִיא,317,"that prophesy, prophet.",ఒక ప్రవక్త; (సాధారణంగా) ప్రేరణ పొందిన వ్యక్తి
H6242,עֶשׂרִים,315,twenty(-ieth).,
H4940,מִשׁפָּחָה,304,"(figuratively) a class (of persons), a species (of animals) or sort (of things); by extens. a tribe or people",
H6485,פָּקַד,303,"muster, charge, care for, miss, deposit, etc",
H2403,חַטָּאָה חַטָּאתּ,301,(concretely) an offender,"ఒక నేరం (కొన్నిసార్లు అలవాటైన పాపం), మరియు దాని శిక్ష, సందర్భం, త్యాగం లేదా ప్రాయశ్చిత్తం; (కాంక్రీట్‌గా) ఒక అపరాధి"
H5493,סוּר שׂוּר,301,"bring, call back, decline, depart, eschew, get (you), go (aside), X grievous, lay away (by), leave undone, be past, pluck away, put (away, down), rebel, remove (to and fro), revolt, X be sour, take (away, off), turn (aside, away, in), withdraw, be without.",
H3966,מְאוֹד,300,"speedily, etc.",
H3899,לֶחֶם,299,"especially bread, or grain (for making it)",
H6256,עֵת,297,"especially (adverb with preposition) now, when, etc",
H3881,לֵוִיִי לֵוִי,293,a Levite or descendant of Levi,
H8010,שְׁלוֹמוֹה,293,David's successor,
H2388,חָזַק,290,"to bind, restrain, conquer",
H5930,עוֹלָה עוֹלָה,290,usually a holocaust (as going up in smoke),
H6430,פְּלִשׁתִּי,290,a Pelishtite or inhabitant of Pelesheth,
H3772,כָּרַת,289,"(by implication) to destroy or consume; specifically, to covenant (i.e. make an alliance or bargain, originally by cutting flesh and passing between the pieces)",
H5647,עָבַד,289,"(causatively) to enslave, etc",
H341,אוֹיֵב אוֹיֵב,284,foe.,
H1285,בְּרִיתּ,284,"(con-)feder(-ate), covenant, league.",ఒక కాంపాక్ట్ (ఎందుకంటే మాంసం ముక్కల మధ్య వెళ్ళడం ద్వారా తయారు చేయబడింది)
H7126,קָרַב,284,bring near) for whatever purpose,
H2320,חוֹדֶשׁ,283,new moon.,అమావాస్య; (సూచన ద్వారా) ఒక నెల
H639,אַף,276,"(also, from the rapid breathing in passion) ire",(సరిగ్గా) ముక్కు లేదా నాసికా రంధ్రం; (అందుకే) ముఖం మరియు అప్పుడప్పుడు ఒక వ్యక్తి
H6629,צּוֹאן צְּאוֹן,274,"flock (+ -s), lamb (+ -s), sheep((-cote, -fold, -shearer, -herds)).",
H68,אֶבֶן,273,"+ mason, + plummet, (chalk-, hail-, head-, sling-)stone(-ny), (divers) weight(-s).",రాయి
H4616,מַעַן,272,"used only adverbially, on account of (as a motive or an aim), teleologically, in order that",
H4057,מִדבָּר,271,(by implication) a desert; (also) speech (including its organs),
H1320,בָּשָׂר,270,(by euphemism) the external genitles of a man,
H6547,פַּרעוֹה,268,a general title of Egyptian kings,
H2421,חָיָה,263,"causatively, to revive",
H7563,רָשָׁע,263,"guilty, ungodly, wicked (man), that did wrong.",
H894,בָּבֶל,262,including Babylonia and the Babylonian empire,
H4390,מָלֵא מָלָא,253,in a wide application (literally and figuratively),
H3824,לֵבָב,252,"breast, comfortably, courage, ((faint), (tender-)heart((-ed)), midst, mind, X unawares, understanding.",
H4294,מַטֶּה מַטָּה,252,"whether for chastising (figuratively, correction), ruling (a sceptre), throwing (a lance), or walking (a staff",
H2617,חֵסֵד,251,"(by opposition, rarely) reproof",కృప - దయ
H7272,רֶגֶל,251,"X according as, X after, X coming, X follow, ((broken-))foot((-ed, -stool)), X great toe, X haunt, X journey, leg, + piss, + possession, time.",ఒక అడుగు (నడకలో ఉపయోగించినట్లు); (సూచన ద్వారా) ఒక అడుగు
H520,אַמָּה,249,"+ hundred (by exchange for H3967), measure, post.",
H409,אַל,244,al (al) adv. 1. not [(Aramaic) corresponding to H408]  Root(s): H408,
H1366,גְּבוּל גֶּבוּל,241,"bound, coast, X great, landmark, limit, quarter, space.",
H2398,חָטָא,240,"(by inference) to forfeit, lack, expiate, repent",
H5288,נַעַר,240,"(by implication) a servant; (also, by interchange of sex), a girl (of similar range in age)",
H7965,שָׁלוֹם שָׁלוֹם,236,"(abstractly) welfare, i.e. health, prosperity, peace",శాంతి - సమాధానము
H2142,זָכַר,235,"(by implication) to mention; (also, as denominative from H2145) to be male",
H3915,לַיִל לֵיל לַיְלָה,235,(figuratively) adversity,"(సరిగ్గా) ఒక ట్విస్ట్ (కాంతి దూరంగా), అనగా రాత్రి; (అలంకారికంగా) ప్రతికూలత"
H4639,מַעֲשֶׂה,235,generally) property,
H7235,רָבָה,234,"+ archer (by mistake for H7232), be in authority, bring up, X continue, enlarge, excel, exceeding(-ly), be full of, (be, make) great(-er, -ly, X -ness), grow up, heap, increase, be long, (be, give, have, make, use) many (a time), (any, be, give, give the, have) more (in number), (ask, be, be so, gather, over, take, yield) much (greater, more), (make to) multiply, nourish, plenty(-eous), X process (of time), sore, store, thoroughly, very.",
H3423,יָרַשׁ יָרֵשׁ,232,"(by implication) to seize, to rob, to inherit; (also) to expel, to impoverish, to ruin",
H5771,עָווֹן עָווֹן,232,i.e. (moral) evil,
H2233,זֶרַע,229,"plant, sowing-time, posterity","విత్తనం; (అలంకారికంగా) పండు, మొక్క, విత్తే సమయం, సంతానం"
H3789,כָּתַב,227,"(by implication) to write (describe, inscribe, prescribe, subscribe)",
H7130,קֶרֶב,227,"i.e. the center, whether literal, figurative or adverbial (especially with preposition)",
H2428,חַיִל,226,"an army, wealth, virtue, valor, strength",
H127,אֲדָמָה,225,"earth, ground, husband(-man) (-ry), land.",
H1245,בָּקַשׁ,225,(by implication) to strive after,
H4150,מוֹעֵד מוֹעֵד מוֹעָדָה,223,(specifically) a festival; (conventionally) a year,
H5159,נַחֲלָה,223,patrimony or portion,
H8451,תּוֹרָה תּוֹרָה,222,especially the Decalogue or Pentateuch,"ఒక సూత్రం లేదా శాసనం, ముఖ్యంగా డికాలాగ్ లేదా పెంటాట్యూచ్"
